SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-06-30 11:52:38.302395,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-64
1,DC:A6:32:33:AA:47,2020-06-30 11:52:40.306868,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-61
2,DC:A6:32:33:AA:47,2020-06-30 11:52:42.311661,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-59
3,DC:A6:32:33:AA:47,2020-06-30 11:52:44.316648,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-54
4,DC:A6:32:33:AA:47,2020-06-30 11:52:46.321650,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-56
5,DC:A6:32:33:AA:47,2020-06-30 11:52:48.326588,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-57
6,DC:A6:32:33:AA:47,2020-06-30 11:52:49.129173,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-57
7,DC:A6:32:33:AA:47,2020-06-30 11:52:50.254074,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-56
8,DC:A6:32:33:AA:47,2020-06-30 11:52:52.258993,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-56
9,DC:A6:32:33:AA:47,2020-06-30 11:52:53.326413,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-57
10,DC:A6:32:33:AA:47,2020-06-30 11:52:55.331426,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-57
11,DC:A6:32:33:AA:47,2020-06-30 11:52:57.336409,cc476ca8-bb02-11ea-a892-dca63233aa46,1,1,1,-57
