SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 15:52:08,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,0.002309308341
1,DC:A6:32:33:AA:47,2020-07-09 15:52:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-64,0.0000003981071706,
2,DC:A6:32:33:AA:47,2020-07-09 15:52:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-63,0.0000005011872336,
3,DC:A6:32:33:AA:47,2020-07-09 15:52:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-63,0.0000005011872336,
4,DC:A6:32:33:AA:47,2020-07-09 15:52:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
5,DC:A6:32:33:AA:47,2020-07-09 15:52:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58,0.000001584893192,
6,DC:A6:32:33:AA:47,2020-07-09 15:52:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58,0.000001584893192,
7,DC:A6:32:33:AA:47,2020-07-09 15:52:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-68,0.0000001584893192,
8,DC:A6:32:33:AA:47,2020-07-09 15:52:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-49,0.00001258925412,
9,DC:A6:32:33:AA:47,2020-07-09 15:52:18,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-64,0.0000003981071706,
10,DC:A6:32:33:AA:47,2020-07-09 15:52:18,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
11,DC:A6:32:33:AA:47,2020-07-09 15:52:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
12,DC:A6:32:33:AA:47,2020-07-09 15:52:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
13,DC:A6:32:33:AA:47,2020-07-09 15:52:22,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
14,DC:A6:32:33:AA:47,2020-07-09 15:52:24,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
15,DC:A6:32:33:AA:47,2020-07-09 15:52:26,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
16,DC:A6:32:33:AA:47,2020-07-09 15:52:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50,0.00001,
17,DC:A6:32:33:AA:47,2020-07-09 15:52:28,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-49,0.00001258925412,
18,DC:A6:32:33:AA:47,2020-07-09 15:52:30,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
19,DC:A6:32:33:AA:47,2020-07-09 15:52:31,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
20,DC:A6:32:33:AA:47,2020-07-09 15:52:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
21,DC:A6:32:33:AA:47,2020-07-09 15:52:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
22,DC:A6:32:33:AA:47,2020-07-09 15:52:34,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-59,0.000001258925412,
23,DC:A6:32:33:AA:47,2020-07-09 15:52:36,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
24,DC:A6:32:33:AA:47,2020-07-09 15:52:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50,0.00001,
25,DC:A6:32:33:AA:47,2020-07-09 15:52:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-66,0.0000002511886432,
26,DC:A6:32:33:AA:47,2020-07-09 15:52:39,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
27,DC:A6:32:33:AA:47,2020-07-09 15:52:39,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
28,DC:A6:32:33:AA:47,2020-07-09 15:52:41,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50,0.00001,
29,DC:A6:32:33:AA:47,2020-07-09 15:52:43,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50,0.00001,
30,DC:A6:32:33:AA:47,2020-07-09 15:52:43,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58,0.000001584893192,
31,DC:A6:32:33:AA:47,2020-07-09 15:52:45,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58,0.000001584893192,
32,DC:A6:32:33:AA:47,2020-07-09 15:52:45,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50,0.00001,
33,DC:A6:32:33:AA:47,2020-07-09 15:52:47,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
34,DC:A6:32:33:AA:47,2020-07-09 15:52:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
35,DC:A6:32:33:AA:47,2020-07-09 15:52:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
36,DC:A6:32:33:AA:47,2020-07-09 15:52:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
37,DC:A6:32:33:AA:47,2020-07-09 15:52:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58,0.000001584893192,
38,DC:A6:32:33:AA:47,2020-07-09 15:52:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-67,0.0000001995262315,
39,DC:A6:32:33:AA:47,2020-07-09 15:52:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58,0.000001584893192,
40,DC:A6:32:33:AA:47,2020-07-09 15:52:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58,0.000001584893192,
41,DC:A6:32:33:AA:47,2020-07-09 15:52:56,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-49,0.00001258925412,
42,DC:A6:32:33:AA:47,2020-07-09 15:52:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
43,DC:A6:32:33:AA:47,2020-07-09 15:53:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50,0.00001,
44,DC:A6:32:33:AA:47,2020-07-09 15:53:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
45,DC:A6:32:33:AA:47,2020-07-09 15:53:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
46,DC:A6:32:33:AA:47,2020-07-09 15:53:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65,0.000000316227766,
47,DC:A6:32:33:AA:47,2020-07-09 15:53:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-64,0.0000003981071706,
