SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 15:41:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-64,0.0000003981071706,0.002236389715
1,DC:A6:32:33:AA:47,2020-07-09 15:41:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-64,0.0000003981071706,
2,DC:A6:32:33:AA:47,2020-07-09 15:41:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50,0.00001,
3,DC:A6:32:33:AA:47,2020-07-09 15:41:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
4,DC:A6:32:33:AA:47,2020-07-09 15:41:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-56,0.000002511886432,
5,DC:A6:32:33:AA:47,2020-07-09 15:41:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-56,0.000002511886432,
6,DC:A6:32:33:AA:47,2020-07-09 15:41:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-68,0.0000001584893192,
7,DC:A6:32:33:AA:47,2020-07-09 15:41:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-69,0.0000001258925412,
8,DC:A6:32:33:AA:47,2020-07-09 15:42:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-59,0.000001258925412,
9,DC:A6:32:33:AA:47,2020-07-09 15:42:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-47,0.00001995262315,
10,DC:A6:32:33:AA:47,2020-07-09 15:42:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57,0.000001995262315,
11,DC:A6:32:33:AA:47,2020-07-09 15:42:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58,0.000001584893192,
12,DC:A6:32:33:AA:47,2020-07-09 15:42:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-69,0.0000001258925412,
13,DC:A6:32:33:AA:47,2020-07-09 15:42:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-69,0.0000001258925412,
14,DC:A6:32:33:AA:47,2020-07-09 15:42:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-69,0.0000001258925412,
15,DC:A6:32:33:AA:47,2020-07-09 15:42:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58,0.000001584893192,
16,DC:A6:32:33:AA:47,2020-07-09 15:42:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-59,0.000001258925412,
