SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW ),Sum
367,DC:A6:32:33:AA:47,2020-07-09 16:24:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
368,DC:A6:32:33:AA:47,2020-07-09 16:24:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
369,DC:A6:32:33:AA:47,2020-07-09 16:24:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
370,DC:A6:32:33:AA:47,2020-07-09 16:24:13,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
371,DC:A6:32:33:AA:47,2020-07-09 16:24:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
372,DC:A6:32:33:AA:47,2020-07-09 16:24:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
373,DC:A6:32:33:AA:47,2020-07-09 16:24:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
374,DC:A6:32:33:AA:47,2020-07-09 16:24:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
375,DC:A6:32:33:AA:47,2020-07-09 16:24:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
376,DC:A6:32:33:AA:47,2020-07-09 16:24:25,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
377,DC:A6:32:33:AA:47,2020-07-09 16:24:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
378,DC:A6:32:33:AA:47,2020-07-09 16:24:29,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
379,DC:A6:32:33:AA:47,2020-07-09 16:24:31,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
380,DC:A6:32:33:AA:47,2020-07-09 16:24:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
381,DC:A6:32:33:AA:47,2020-07-09 16:24:34,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
382,DC:A6:32:33:AA:47,2020-07-09 16:24:35,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
383,DC:A6:32:33:AA:47,2020-07-09 16:24:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
384,DC:A6:32:33:AA:47,2020-07-09 16:24:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
385,DC:A6:32:33:AA:47,2020-07-09 16:24:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
386,DC:A6:32:33:AA:47,2020-07-09 16:24:40,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
387,DC:A6:32:33:AA:47,2020-07-09 16:24:42,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
388,DC:A6:32:33:AA:47,2020-07-09 16:24:42,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
389,DC:A6:32:33:AA:47,2020-07-09 16:24:44,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
390,DC:A6:32:33:AA:47,2020-07-09 16:24:46,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
391,DC:A6:32:33:AA:47,2020-07-09 16:24:48,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
392,DC:A6:32:33:AA:47,2020-07-09 16:24:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
393,DC:A6:32:33:AA:47,2020-07-09 16:24:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
394,DC:A6:32:33:AA:47,2020-07-09 16:24:52,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
395,DC:A6:32:33:AA:47,2020-07-09 16:24:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
396,DC:A6:32:33:AA:47,2020-07-09 16:24:56,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
397,DC:A6:32:33:AA:47,2020-07-09 16:24:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
398,DC:A6:32:33:AA:47,2020-07-09 16:24:59,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
399,DC:A6:32:33:AA:47,2020-07-09 16:25:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
400,DC:A6:32:33:AA:47,2020-07-09 16:25:01,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
401,DC:A6:32:33:AA:47,2020-07-09 16:25:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
402,DC:A6:32:33:AA:47,2020-07-09 16:25:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
403,DC:A6:32:33:AA:47,2020-07-09 16:25:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
404,DC:A6:32:33:AA:47,2020-07-09 16:25:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
405,DC:A6:32:33:AA:47,2020-07-09 16:25:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
406,DC:A6:32:33:AA:47,2020-07-09 16:25:08,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
407,DC:A6:32:33:AA:47,2020-07-09 16:25:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
408,DC:A6:32:33:AA:47,2020-07-09 16:25:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
409,DC:A6:32:33:AA:47,2020-07-09 16:25:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
410,DC:A6:32:33:AA:47,2020-07-09 16:25:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
411,DC:A6:32:33:AA:47,2020-07-09 16:25:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
412,DC:A6:32:33:AA:47,2020-07-09 16:25:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
413,DC:A6:32:33:AA:47,2020-07-09 16:25:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
414,DC:A6:32:33:AA:47,2020-07-09 16:25:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
415,DC:A6:32:33:AA:47,2020-07-09 16:25:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
416,DC:A6:32:33:AA:47,2020-07-09 16:25:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
417,DC:A6:32:33:AA:47,2020-07-09 16:25:24,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
418,DC:A6:32:33:AA:47,2020-07-09 16:25:26,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
419,DC:A6:32:33:AA:47,2020-07-09 16:25:28,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-55,0.00000316227766,
420,DC:A6:32:33:AA:47,2020-07-09 16:25:29,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
421,DC:A6:32:33:AA:47,2020-07-09 16:25:30,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
422,DC:A6:32:33:AA:47,2020-07-09 16:25:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
423,DC:A6:32:33:AA:47,2020-07-09 16:25:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
