SCAN,3ft_2,3ft_1,3ft_3,3ft_4,3ft_5,avg,cumsum
0,0.000003981071706,0.000006309573445,0.00002511886432,0.000005011872336,0.00000316227766,0.000008716731893,0.000008716731893
1,0.000003981071706,0.000005011872336,0.0000316227766,0.000003981071706,0.00005011872336,0.00001894310314,0.00001894310314
2,0.00006309573445,0.000006309573445,0.00003981071706,0.000003981071706,0.00006309573445,0.00003525856622,0.00003525856622
3,0.00006309573445,0.000006309573445,0.000003981071706,0.00005011872336,0.00005011872336,0.00003472476526,0.00003472476526
4,0.00006309573445,0.00006309573445,0.00006309573445,0.00003981071706,0.000003981071706,0.00004661579842,0.00004661579842
5,0.00006309573445,0.00006309573445,0.00005011872336,0.00006309573445,0.00003981071706,0.00005584332875,0.00005584332875
6,0.0000316227766,0.00003981071706,0.00003981071706,0.00006309573445,0.00005011872336,0.00004489173371,0.00004489173371
7,0.00006309573445,0.00006309573445,0.000005011872336,0.00003981071706,0.00003981071706,0.00004216495507,0.00004216495507
8,0.000005011872336,0.000006309573445,0.000005011872336,0.000003981071706,0.00005011872336,0.00001408662264,0.00001408662264
9,0.000003981071706,0.00006309573445,0.00006309573445,0.000005011872336,0.00005011872336,0.00003706062726,0.00003706062726
10,0.000005011872336,0.000006309573445,0.00006309573445,0.00003981071706,0.000003981071706,0.0000236417938,0.0000236417938
11,0.00006309573445,0.000006309573445,0.00003981071706,0.00003981071706,0.00003981071706,0.00003776749182,0.00003776749182
12,0.000005011872336,0.000005011872336,0.00006309573445,0.00003981071706,0.00005011872336,0.00003260978391,0.00003260978391
13,0.00006309573445,0.000006309573445,0.00006309573445,0.00006309573445,0.00006309573445,0.00005173850225,0.00005173850225
14,0.000003981071706,0.000003981071706,0.0000316227766,0.000005011872336,0.00006309573445,0.00002153850536,0.00002153850536
15,0.00006309573445,0.00006309573445,0.00003981071706,0.00006309573445,0.00005011872336,0.00005584332875,0.00005584332875
16,0.000005011872336,0.00007943282347,0.00003981071706,0.000005011872336,0.00003981071706,0.00003381560045,0.00003381560045
17,0.000005011872336,0.00006309573445,0.000005011872336,0.00006309573445,0.00003981071706,0.00003520518613,0.00003520518613
18,0.000005011872336,0.000007943282347,0.00003981071706,0.00006309573445,0.00006309573445,0.00003579146813,0.00003579146813
19,0.000005011872336,0.000006309573445,0.00007943282347,0.00006309573445,0.00006309573445,0.00004338914763,0.00004338914763
20,0.000005011872336,0.000006309573445,0.00006309573445,0.00003981071706,0.000003981071706,0.0000236417938,0.0000236417938
21,0.00003981071706,0.00006309573445,0.000003981071706,0.00006309573445,0.000005011872336,0.000034999026,0.000034999026
22,0.000006309573445,0.00006309573445,0.00007943282347,0.00003981071706,0.000003981071706,0.00003852598403,0.00003852598403
23,0.00003981071706,0.00006309573445,0.00003981071706,0.000003981071706,0.00006309573445,0.00004195879495,0.00004195879495
24,0.000005011872336,0.0000316227766,0.00005011872336,0.00006309573445,0.000003981071706,0.00003076603569,0.00003076603569
25,0.00006309573445,0.00006309573445,0.000005011872336,0.00006309573445,0.00006309573445,0.00005147896203,0.00005147896203
26,0.00007943282347,0.000006309573445,0.0000316227766,0.00006309573445,0.00003981071706,0.00004405432501,0.00004405432501
27,0.00006309573445,0.000006309573445,0.00007943282347,0.00006309573445,0.00003981071706,0.00005034891658,0.00005034891658
28,0.000005011872336,0.00006309573445,0.0001258925412,0.000003981071706,0.00006309573445,0.00005221539083,0.00005221539083
29,0.00006309573445,0.0000316227766,0.00005011872336,0.000005011872336,0.00006309573445,0.00004258896824,0.00004258896824
30,0.00003981071706,0.000006309573445,0.000003981071706,0.00006309573445,0.00005011872336,0.000032663164,0.000032663164
31,0.00006309573445,0.00006309573445,0.00003981071706,0.00003981071706,0.00006309573445,0.00005378172749,0.00005378172749
32,0.00003981071706,0.000005011872336,0.00006309573445,0.000005011872336,0.00003981071706,0.00003054818265,0.00003054818265
33,0.00006309573445,0.00006309573445,0.00007943282347,0.0000316227766,0.000003981071706,0.00004824562814,0.00004824562814
34,0.000005011872336,0.000005011872336,0.000005011872336,0.00006309573445,0.00006309573445,0.00002824541718,0.00002824541718
35,0.000005011872336,0.00003981071706,0.00005011872336,0.00003981071706,0.00006309573445,0.00003956955285,0.00003956955285
36,0.00006309573445,0.00003981071706,0.00005011872336,0.000003981071706,0.000003981071706,0.00003219746366,0.00003219746366
37,0.000005011872336,0.000005011872336,0.00003981071706,0.000003981071706,0.00005011872336,0.00002078685136,0.00002078685136
38,0.00003981071706,0.00006309573445,0.00003981071706,0.000003981071706,0.000003981071706,0.0000301358624,0.0000301358624
39,0.00006309573445,0.00006309573445,0.00003981071706,0.000003981071706,0.0001,0.00005399665153,0.00005399665153
40,0.000005011872336,0.00006309573445,0.000003981071706,0.000003981071706,0.00003981071706,0.00002317609345,0.00002317609345
41,0.00007943282347,0.000005011872336,0.00003981071706,0.00006309573445,0.00005011872336,0.00004749397414,0.00004749397414
42,0.00006309573445,0.00006309573445,0.000005011872336,0.00006309573445,0.00007943282347,0.00005474637983,0.00005474637983
43,0.00006309573445,0.00006309573445,0.00006309573445,0.00003981071706,0.000003981071706,0.00004661579842,0.00004661579842
44,0.000003981071706,0.000005011872336,0.000005011872336,0.000003981071706,0.00000316227766,0.000004229633149,0.000004229633149
45,0.00005011872336,0.0000316227766,0.00007943282347,0.00006309573445,0.000003981071706,0.00004565022592,0.00004565022592
46,0.00006309573445,0.00006309573445,0.00003981071706,0.00006309573445,0.00005011872336,0.00005584332875,0.00005584332875
47,0.000005011872336,0.000005011872336,0.000003981071706,0.00007943282347,0.00007943282347,0.00003457409266,0.00003457409266
48,0.000005011872336,0.00006309573445,0.000005011872336,0.000003981071706,0.000003981071706,0.00001621632451,0.00001621632451
49,0.00003981071706,0.000005011872336,0.000003981071706,0.00006309573445,0.000003981071706,0.00002317609345,0.00002317609345
50,0.00003981071706,0.000005011872336,0.00007943282347,0.00000316227766,0.00003981071706,0.00003344568152,0.00003344568152
51,0.00003981071706,0.00006309573445,0.00003981071706,0.00003981071706,0.00005011872336,0.0000465293218,0.0000465293218
52,0.00003981071706,0.00006309573445,0.000005011872336,0.00003981071706,0.00005011872336,0.00003956955285,0.00003956955285
53,0.00006309573445,0.00006309573445,0.000005011872336,0.00000316227766,0.00006309573445,0.00003949227067,0.00003949227067
54,0.0000316227766,0.00006309573445,0.00006309573445,0.00006309573445,0.0000316227766,0.00005050655131,0.00005050655131
55,0.000003981071706,0.00006309573445,0.00005011872336,0.000003981071706,0.00003981071706,0.00003219746366,0.00003219746366
56,0.00003981071706,0.000005011872336,0.00003981071706,0.00007943282347,0.00003981071706,0.0000407753694,0.0000407753694
57,0.000003981071706,0.000005011872336,0.00003981071706,0.00003981071706,0.00003981071706,0.00002568501904,0.00002568501904
58,0.00006309573445,0.00006309573445,0.00003981071706,0.000003981071706,0.0000316227766,0.00004032120685,0.00004032120685
59,0.00006309573445,0.00006309573445,0.00006309573445,0.0000316227766,0.00003981071706,0.0000521441394,0.0000521441394
60,0.00006309573445,0.00006309573445,0.000005011872336,0.00006309573445,0.00003981071706,0.00004682195855,0.00004682195855
61,0.00005011872336,0.00006309573445,0.0001584893192,0.00000316227766,0.00006309573445,0.00006759235782,0.00006759235782
62,0.00003981071706,0.00006309573445,0.00005011872336,0.000003981071706,0.00003981071706,0.00003936339273,0.00003936339273
63,0.00006309573445,0.00006309573445,0.00003981071706,0.000003981071706,0.000003981071706,0.00003479286587,0.00003479286587
64,0.00006309573445,0.000006309573445,0.000005011872336,0.00005011872336,0.000005011872336,0.00002590955519,0.00002590955519
65,0.00006309573445,0.000005011872336,0.00007943282347,0.00005011872336,0.00005011872336,0.0000495555754,0.0000495555754
66,0.00006309573445,0.000003981071706,0.00006309573445,0.000003981071706,0.000003981071706,0.0000276269368,0.0000276269368
67,0.00003981071706,0.00006309573445,0.000003981071706,0.00007943282347,0.00003981071706,0.00004522621275,0.00004522621275
68,0.00006309573445,0.00006309573445,0.000003981071706,0.00006309573445,0.00006309573445,0.0000512728019,0.0000512728019
69,0.000005011872336,0.00006309573445,0.000003981071706,0.00006309573445,0.000003981071706,0.00002783309693,0.00002783309693
70,0.000005011872336,0.00006309573445,0.00007943282347,0.000003981071706,0.00003981071706,0.0000382664438,0.0000382664438
71,0.00006309573445,0.00006309573445,0.00007943282347,0.00003981071706,0.00000316227766,0.00004971945742,0.00004971945742
72,0.000003981071706,0.00006309573445,0.00007943282347,0.00005011872336,0.00005011872336,0.00004934941527,0.00004934941527
73,0.00007943282347,0.00006309573445,0.000005011872336,0.00006309573445,0.000003981071706,0.00004292344728,0.00004292344728
74,0.000003981071706,0.000005011872336,0.00003981071706,0.00006309573445,0.000005011872336,0.00002338225358,0.00002338225358
75,0.00006309573445,0.000005011872336,0.00005011872336,0.00000316227766,0.00006309573445,0.00003689686845,0.00003689686845
76,0.00006309573445,0.000005011872336,0.00006309573445,0.000003981071706,0.000003981071706,0.00002783309693,0.00002783309693
77,0.00007943282347,0.000005011872336,0.00007943282347,0.00006309573445,0.00006309573445,0.00005801379764,0.00005801379764
78,0.00006309573445,0.000005011872336,0.000005011872336,0.000003981071706,0.000005011872336,0.00001642248463,0.00001642248463
79,0.00003981071706,0.00006309573445,0.000003981071706,0.00000316227766,0.00003981071706,0.00002997210359,0.00002997210359
80,0.0000316227766,0.000005011872336,0.000005011872336,0.00007943282347,0.00003981071706,0.00003217801236,0.00003217801236
81,0.00006309573445,0.00006309573445,0.00006309573445,0.00003981071706,0.00006309573445,0.00005843873097,0.00005843873097
82,0.00007943282347,0.000003981071706,0.00003981071706,0.00006309573445,0.00005011872336,0.00004728781401,0.00004728781401
83,0.00000316227766,0.00003981071706,0.000005011872336,0.00000316227766,0.00005011872336,0.00002025317362,0.00002025317362
84,0.00003981071706,0.000005011872336,0.00005011872336,0.00000316227766,0.00003981071706,0.0000275828615,0.0000275828615
85,0.00003981071706,0.00006309573445,0.000003981071706,0.00007943282347,0.00006309573445,0.00004988321623,0.00004988321623
86,0.00003981071706,0.00003981071706,0.000003981071706,0.00003981071706,0.00006309573445,0.00003730179147,0.00003730179147
87,0.00006309573445,0.00003981071706,0.00003981071706,0.00000316227766,0.0001258925412,0.00005435439749,0.00005435439749
88,0.00006309573445,0.00006309573445,0.00003981071706,0.00003981071706,0.000003981071706,0.00004195879495,0.00004195879495
89,0.00003981071706,0.00003981071706,0.00003981071706,0.00006309573445,0.00005011872336,0.0000465293218,0.0000465293218
90,0.0000316227766,0.00006309573445,0.00003981071706,0.00000316227766,0.00005011872336,0.00003756204583,0.00003756204583
91,0.0000316227766,0.00006309573445,0.000005011872336,0.00003981071706,0.000005011872336,0.00002891059456,0.00002891059456
92,0.00006309573445,0.00006309573445,0.000006309573445,0.000003981071706,0.000003981071706,0.00002809263715,0.00002809263715
93,0.000006309573445,0.00003981071706,0.00006309573445,0.00003981071706,0.00006309573445,0.00004242449529,0.00004242449529
94,0.000006309573445,0.00006309573445,0.000005011872336,0.00003981071706,0.00006309573445,0.00003546472635,0.00003546472635
95,0.00006309573445,0.00006309573445,0.00006309573445,0.000003981071706,0.00007943282347,0.00005454021971,0.00005454021971
96,0.00006309573445,0.00006309573445,0.000005011872336,0.00003981071706,0.000003981071706,0.000034999026,0.000034999026
97,0.000006309573445,0.00006309573445,0.00006309573445,0.00000316227766,0.000003981071706,0.00002792887834,0.00002792887834
98,0.00006309573445,0.00003981071706,0.00007943282347,0.000003981071706,0.00003981071706,0.00004522621275,0.00004522621275
99,0.000006309573445,0.000006309573445,0.00003981071706,0.000003981071706,0.000003981071706,0.00001207840147,0.00001207840147
100,0.000006309573445,0.00006309573445,0.000005011872336,0.00003981071706,0.00006309573445,0.00003546472635,0.00003546472635
101,0.000006309573445,0.00006309573445,0.00005011872336,0.00003981071706,0.000003981071706,0.000032663164,0.000032663164
102,0.00006309573445,0.00003981071706,0.00003981071706,0.00006309573445,0.00005011872336,0.00005118632528,0.00005118632528
103,0.00006309573445,0.000006309573445,0.00007943282347,0.00003981071706,0.00006309573445,0.00005034891658,0.00005034891658
104,0.00006309573445,0.000005011872336,0.00005011872336,0.00003981071706,0.00003981071706,0.00003956955285,0.00003956955285
105,0.000005011872336,0.00006309573445,0.00006309573445,0.0000316227766,0.00000316227766,0.0000331976791,0.0000331976791
106,0.000006309573445,0.00006309573445,0.000005011872336,0.00000316227766,0.000005011872336,0.00001651826605,0.00001651826605
107,0.00006309573445,0.000006309573445,0.00006309573445,0.00003981071706,0.00006309573445,0.00004708149877,0.00004708149877
108,0.00003981071706,0.000007943282347,0.000003981071706,0.00006309573445,0.000003981071706,0.00002376237545,0.00002376237545
109,0.000006309573445,0.000005011872336,0.000003981071706,0.00006309573445,0.00006309573445,0.00002829879728,0.00002829879728
110,0.00003981071706,0.00006309573445,0.000005011872336,0.00000316227766,0.000003981071706,0.00002301233464,0.00002301233464
111,0.00003981071706,0.000006309573445,0.000005011872336,0.000003981071706,0.00003981071706,0.00001898479032,0.00001898479032
112,0.00006309573445,0.00006309573445,0.000003981071706,0.000003981071706,0.00003981071706,0.00003479286587,0.00003479286587
113,0.00006309573445,0.00006309573445,0.000003981071706,0.00003981071706,0.00005011872336,0.00004402039621,0.00004402039621
