SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 16:48:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,0.01402056012
1,DC:A6:32:33:AA:47,2020-07-09 16:48:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
2,DC:A6:32:33:AA:47,2020-07-09 16:48:52,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
3,DC:A6:32:33:AA:47,2020-07-09 16:48:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43,0.00005011872336,
4,DC:A6:32:33:AA:47,2020-07-09 16:48:56,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
5,DC:A6:32:33:AA:47,2020-07-09 16:48:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
6,DC:A6:32:33:AA:47,2020-07-09 16:49:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
7,DC:A6:32:33:AA:47,2020-07-09 16:49:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
8,DC:A6:32:33:AA:47,2020-07-09 16:49:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
9,DC:A6:32:33:AA:47,2020-07-09 16:49:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
10,DC:A6:32:33:AA:47,2020-07-09 16:49:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
11,DC:A6:32:33:AA:47,2020-07-09 16:49:08,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
12,DC:A6:32:33:AA:47,2020-07-09 16:49:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
13,DC:A6:32:33:AA:47,2020-07-09 16:49:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
14,DC:A6:32:33:AA:47,2020-07-09 16:49:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
15,DC:A6:32:33:AA:47,2020-07-09 16:49:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
16,DC:A6:32:33:AA:47,2020-07-09 16:49:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
17,DC:A6:32:33:AA:47,2020-07-09 16:49:18,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
18,DC:A6:32:33:AA:47,2020-07-09 16:49:18,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
19,DC:A6:32:33:AA:47,2020-07-09 16:49:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
20,DC:A6:32:33:AA:47,2020-07-09 16:49:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
21,DC:A6:32:33:AA:47,2020-07-09 16:49:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
22,DC:A6:32:33:AA:47,2020-07-09 16:49:25,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
