SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 16:36:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,0.0161842604
1,DC:A6:32:33:AA:47,2020-07-09 16:36:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
2,DC:A6:32:33:AA:47,2020-07-09 16:36:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
3,DC:A6:32:33:AA:47,2020-07-09 16:36:22,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
4,DC:A6:32:33:AA:47,2020-07-09 16:36:24,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
5,DC:A6:32:33:AA:47,2020-07-09 16:36:25,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43,0.00005011872336,
6,DC:A6:32:33:AA:47,2020-07-09 16:36:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
7,DC:A6:32:33:AA:47,2020-07-09 16:36:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
8,DC:A6:32:33:AA:47,2020-07-09 16:36:28,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
9,DC:A6:32:33:AA:47,2020-07-09 16:36:30,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
10,DC:A6:32:33:AA:47,2020-07-09 16:36:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
11,DC:A6:32:33:AA:47,2020-07-09 16:36:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
12,DC:A6:32:33:AA:47,2020-07-09 16:36:35,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
13,DC:A6:32:33:AA:47,2020-07-09 16:36:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
14,DC:A6:32:33:AA:47,2020-07-09 16:36:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
15,DC:A6:32:33:AA:47,2020-07-09 16:36:40,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
16,DC:A6:32:33:AA:47,2020-07-09 16:36:41,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
17,DC:A6:32:33:AA:47,2020-07-09 16:36:43,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
18,DC:A6:32:33:AA:47,2020-07-09 16:36:45,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
19,DC:A6:32:33:AA:47,2020-07-09 16:36:47,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
20,DC:A6:32:33:AA:47,2020-07-09 16:36:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
21,DC:A6:32:33:AA:47,2020-07-09 16:36:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
22,DC:A6:32:33:AA:47,2020-07-09 16:36:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
23,DC:A6:32:33:AA:47,2020-07-09 16:36:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
24,DC:A6:32:33:AA:47,2020-07-09 16:36:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43,0.00005011872336,
25,DC:A6:32:33:AA:47,2020-07-09 16:36:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
26,DC:A6:32:33:AA:47,2020-07-09 16:36:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
27,DC:A6:32:33:AA:47,2020-07-09 16:37:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
28,DC:A6:32:33:AA:47,2020-07-09 16:37:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
29,DC:A6:32:33:AA:47,2020-07-09 16:37:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43,0.00005011872336,
30,DC:A6:32:33:AA:47,2020-07-09 16:37:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
31,DC:A6:32:33:AA:47,2020-07-09 16:37:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
32,DC:A6:32:33:AA:47,2020-07-09 16:37:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
33,DC:A6:32:33:AA:47,2020-07-09 16:37:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
34,DC:A6:32:33:AA:47,2020-07-09 16:37:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
35,DC:A6:32:33:AA:47,2020-07-09 16:37:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43,0.00005011872336,
36,DC:A6:32:33:AA:47,2020-07-09 16:37:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43,0.00005011872336,
37,DC:A6:32:33:AA:47,2020-07-09 16:37:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
38,DC:A6:32:33:AA:47,2020-07-09 16:37:13,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
39,DC:A6:32:33:AA:47,2020-07-09 16:37:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
40,DC:A6:32:33:AA:47,2020-07-09 16:37:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
41,DC:A6:32:33:AA:47,2020-07-09 16:37:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
42,DC:A6:32:33:AA:47,2020-07-09 16:37:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
43,DC:A6:32:33:AA:47,2020-07-09 16:37:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
44,DC:A6:32:33:AA:47,2020-07-09 16:37:22,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
45,DC:A6:32:33:AA:47,2020-07-09 16:37:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
46,DC:A6:32:33:AA:47,2020-07-09 16:37:25,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
47,DC:A6:32:33:AA:47,2020-07-09 16:37:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
48,DC:A6:32:33:AA:47,2020-07-09 16:37:28,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
