SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 16:25:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,0.01688985425
1,DC:A6:32:33:AA:47,2020-07-09 16:25:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
2,DC:A6:32:33:AA:47,2020-07-09 16:25:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
3,DC:A6:32:33:AA:47,2020-07-09 16:25:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
4,DC:A6:32:33:AA:47,2020-07-09 16:25:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
5,DC:A6:32:33:AA:47,2020-07-09 16:25:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
6,DC:A6:32:33:AA:47,2020-07-09 16:25:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
7,DC:A6:32:33:AA:47,2020-07-09 16:25:59,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
8,DC:A6:32:33:AA:47,2020-07-09 16:26:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
9,DC:A6:32:33:AA:47,2020-07-09 16:26:01,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
10,DC:A6:32:33:AA:47,2020-07-09 16:26:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
11,DC:A6:32:33:AA:47,2020-07-09 16:26:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
12,DC:A6:32:33:AA:47,2020-07-09 16:26:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
13,DC:A6:32:33:AA:47,2020-07-09 16:26:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
14,DC:A6:32:33:AA:47,2020-07-09 16:26:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
15,DC:A6:32:33:AA:47,2020-07-09 16:26:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
16,DC:A6:32:33:AA:47,2020-07-09 16:26:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
17,DC:A6:32:33:AA:47,2020-07-09 16:26:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
18,DC:A6:32:33:AA:47,2020-07-09 16:26:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
19,DC:A6:32:33:AA:47,2020-07-09 16:26:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
20,DC:A6:32:33:AA:47,2020-07-09 16:26:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
21,DC:A6:32:33:AA:47,2020-07-09 16:26:18,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
22,DC:A6:32:33:AA:47,2020-07-09 16:26:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
23,DC:A6:32:33:AA:47,2020-07-09 16:26:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
24,DC:A6:32:33:AA:47,2020-07-09 16:26:22,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
25,DC:A6:32:33:AA:47,2020-07-09 16:26:24,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
26,DC:A6:32:33:AA:47,2020-07-09 16:26:26,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
27,DC:A6:32:33:AA:47,2020-07-09 16:26:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
28,DC:A6:32:33:AA:47,2020-07-09 16:26:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
29,DC:A6:32:33:AA:47,2020-07-09 16:26:29,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
30,DC:A6:32:33:AA:47,2020-07-09 16:26:31,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
31,DC:A6:32:33:AA:47,2020-07-09 16:26:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
32,DC:A6:32:33:AA:47,2020-07-09 16:26:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
33,DC:A6:32:33:AA:47,2020-07-09 16:26:34,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
34,DC:A6:32:33:AA:47,2020-07-09 16:26:35,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
35,DC:A6:32:33:AA:47,2020-07-09 16:26:36,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
36,DC:A6:32:33:AA:47,2020-07-09 16:26:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
37,DC:A6:32:33:AA:47,2020-07-09 16:26:39,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
38,DC:A6:32:33:AA:47,2020-07-09 16:26:40,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
39,DC:A6:32:33:AA:47,2020-07-09 16:26:41,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
40,DC:A6:32:33:AA:47,2020-07-09 16:26:42,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
41,DC:A6:32:33:AA:47,2020-07-09 16:26:44,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
42,DC:A6:32:33:AA:47,2020-07-09 16:26:44,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
43,DC:A6:32:33:AA:47,2020-07-09 16:26:45,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
44,DC:A6:32:33:AA:47,2020-07-09 16:26:47,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
45,DC:A6:32:33:AA:47,2020-07-09 16:26:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43,0.00005011872336,
46,DC:A6:32:33:AA:47,2020-07-09 16:26:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
47,DC:A6:32:33:AA:47,2020-07-09 16:26:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
48,DC:A6:32:33:AA:47,2020-07-09 16:26:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
49,DC:A6:32:33:AA:47,2020-07-09 16:26:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
50,DC:A6:32:33:AA:47,2020-07-09 16:26:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
51,DC:A6:32:33:AA:47,2020-07-09 16:26:56,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
52,DC:A6:32:33:AA:47,2020-07-09 16:26:56,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
53,DC:A6:32:33:AA:47,2020-07-09 16:26:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
54,DC:A6:32:33:AA:47,2020-07-09 16:27:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
55,DC:A6:32:33:AA:47,2020-07-09 16:27:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
56,DC:A6:32:33:AA:47,2020-07-09 16:27:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
57,DC:A6:32:33:AA:47,2020-07-09 16:27:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
58,DC:A6:32:33:AA:47,2020-07-09 16:27:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
59,DC:A6:32:33:AA:47,2020-07-09 16:27:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
60,DC:A6:32:33:AA:47,2020-07-09 16:27:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
61,DC:A6:32:33:AA:47,2020-07-09 16:27:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43,0.00005011872336,
62,DC:A6:32:33:AA:47,2020-07-09 16:27:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
63,DC:A6:32:33:AA:47,2020-07-09 16:27:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
64,DC:A6:32:33:AA:47,2020-07-09 16:27:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
65,DC:A6:32:33:AA:47,2020-07-09 16:27:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
66,DC:A6:32:33:AA:47,2020-07-09 16:27:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
67,DC:A6:32:33:AA:47,2020-07-09 16:27:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
68,DC:A6:32:33:AA:47,2020-07-09 16:27:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
69,DC:A6:32:33:AA:47,2020-07-09 16:27:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
70,DC:A6:32:33:AA:47,2020-07-09 16:27:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
71,DC:A6:32:33:AA:47,2020-07-09 16:27:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
72,DC:A6:32:33:AA:47,2020-07-09 16:27:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
73,DC:A6:32:33:AA:47,2020-07-09 16:27:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
74,DC:A6:32:33:AA:47,2020-07-09 16:27:24,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
75,DC:A6:32:33:AA:47,2020-07-09 16:27:26,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
76,DC:A6:32:33:AA:47,2020-07-09 16:27:26,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
77,DC:A6:32:33:AA:47,2020-07-09 16:27:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
78,DC:A6:32:33:AA:47,2020-07-09 16:27:28,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
79,DC:A6:32:33:AA:47,2020-07-09 16:27:29,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
80,DC:A6:32:33:AA:47,2020-07-09 16:27:30,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
81,DC:A6:32:33:AA:47,2020-07-09 16:27:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
82,DC:A6:32:33:AA:47,2020-07-09 16:27:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
83,DC:A6:32:33:AA:47,2020-07-09 16:27:34,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-55,0.00000316227766,
84,DC:A6:32:33:AA:47,2020-07-09 16:27:35,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
85,DC:A6:32:33:AA:47,2020-07-09 16:27:36,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
86,DC:A6:32:33:AA:47,2020-07-09 16:27:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
87,DC:A6:32:33:AA:47,2020-07-09 16:27:39,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
