SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power(mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 21:16:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,0.142898652
1,DC:A6:32:33:AA:47,2020-07-09 21:16:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
2,DC:A6:32:33:AA:47,2020-07-09 21:16:13,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
3,DC:A6:32:33:AA:47,2020-07-09 21:16:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
4,DC:A6:32:33:AA:47,2020-07-09 21:16:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-30,0.001,
5,DC:A6:32:33:AA:47,2020-07-09 21:16:18,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
6,DC:A6:32:33:AA:47,2020-07-09 21:16:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
7,DC:A6:32:33:AA:47,2020-07-09 21:16:22,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-30,0.001,
8,DC:A6:32:33:AA:47,2020-07-09 21:16:24,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
9,DC:A6:32:33:AA:47,2020-07-09 21:16:26,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
10,DC:A6:32:33:AA:47,2020-07-09 21:16:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
11,DC:A6:32:33:AA:47,2020-07-09 21:16:29,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
12,DC:A6:32:33:AA:47,2020-07-09 21:16:31,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
13,DC:A6:32:33:AA:47,2020-07-09 21:16:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
14,DC:A6:32:33:AA:47,2020-07-09 21:16:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
15,DC:A6:32:33:AA:47,2020-07-09 21:16:35,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
16,DC:A6:32:33:AA:47,2020-07-09 21:16:36,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
17,DC:A6:32:33:AA:47,2020-07-09 21:16:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
18,DC:A6:32:33:AA:47,2020-07-09 21:16:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
19,DC:A6:32:33:AA:47,2020-07-09 21:16:40,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
20,DC:A6:32:33:AA:47,2020-07-09 21:16:42,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
21,DC:A6:32:33:AA:47,2020-07-09 21:16:44,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
22,DC:A6:32:33:AA:47,2020-07-09 21:16:46,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
23,DC:A6:32:33:AA:47,2020-07-09 21:16:48,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
24,DC:A6:32:33:AA:47,2020-07-09 21:16:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
25,DC:A6:32:33:AA:47,2020-07-09 21:16:52,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-30,0.001,
26,DC:A6:32:33:AA:47,2020-07-09 21:16:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
27,DC:A6:32:33:AA:47,2020-07-09 21:16:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
28,DC:A6:32:33:AA:47,2020-07-09 21:16:56,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
29,DC:A6:32:33:AA:47,2020-07-09 21:16:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
30,DC:A6:32:33:AA:47,2020-07-09 21:17:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
31,DC:A6:32:33:AA:47,2020-07-09 21:17:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
32,DC:A6:32:33:AA:47,2020-07-09 21:17:01,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
33,DC:A6:32:33:AA:47,2020-07-09 21:17:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
34,DC:A6:32:33:AA:47,2020-07-09 21:17:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
35,DC:A6:32:33:AA:47,2020-07-09 21:17:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
36,DC:A6:32:33:AA:47,2020-07-09 21:17:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-30,0.001,
37,DC:A6:32:33:AA:47,2020-07-09 21:17:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
38,DC:A6:32:33:AA:47,2020-07-09 21:17:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
39,DC:A6:32:33:AA:47,2020-07-09 21:17:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
40,DC:A6:32:33:AA:47,2020-07-09 21:17:13,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
41,DC:A6:32:33:AA:47,2020-07-09 21:17:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
42,DC:A6:32:33:AA:47,2020-07-09 21:17:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
43,DC:A6:32:33:AA:47,2020-07-09 21:17:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
