SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
66,DC:A6:32:33:AA:47,2020-07-09 21:31:21,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-31,0.0007943282347,
67,DC:A6:32:33:AA:47,2020-07-09 21:31:23,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
68,DC:A6:32:33:AA:47,2020-07-09 21:31:25,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
69,DC:A6:32:33:AA:47,2020-07-09 21:31:27,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
70,DC:A6:32:33:AA:47,2020-07-09 21:31:29,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
71,DC:A6:32:33:AA:47,2020-07-09 21:31:30,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
72,DC:A6:32:33:AA:47,2020-07-09 21:31:32,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
73,DC:A6:32:33:AA:47,2020-07-09 21:31:34,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
74,DC:A6:32:33:AA:47,2020-07-09 21:31:36,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
75,DC:A6:32:33:AA:47,2020-07-09 21:31:37,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
76,DC:A6:32:33:AA:47,2020-07-09 21:31:39,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
77,DC:A6:32:33:AA:47,2020-07-09 21:31:41,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
78,DC:A6:32:33:AA:47,2020-07-09 21:31:43,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
79,DC:A6:32:33:AA:47,2020-07-09 21:31:43,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
80,DC:A6:32:33:AA:47,2020-07-09 21:31:45,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-31,0.0007943282347,
81,DC:A6:32:33:AA:47,2020-07-09 21:31:46,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
82,DC:A6:32:33:AA:47,2020-07-09 21:31:47,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
83,DC:A6:32:33:AA:47,2020-07-09 21:31:49,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
84,DC:A6:32:33:AA:47,2020-07-09 21:31:51,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
85,DC:A6:32:33:AA:47,2020-07-09 21:31:53,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
86,DC:A6:32:33:AA:47,2020-07-09 21:31:53,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-33,0.0005011872336,
87,DC:A6:32:33:AA:47,2020-07-09 21:31:54,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-36,0.0002511886432,
88,DC:A6:32:33:AA:47,2020-07-09 21:31:56,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
89,DC:A6:32:33:AA:47,2020-07-09 21:31:57,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
90,DC:A6:32:33:AA:47,2020-07-09 21:31:58,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
91,DC:A6:32:33:AA:47,2020-07-09 21:32:00,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
92,DC:A6:32:33:AA:47,2020-07-09 21:32:01,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
93,DC:A6:32:33:AA:47,2020-07-09 21:32:01,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
94,DC:A6:32:33:AA:47,2020-07-09 21:32:03,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
95,DC:A6:32:33:AA:47,2020-07-09 21:32:04,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
96,DC:A6:32:33:AA:47,2020-07-09 21:32:05,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
97,DC:A6:32:33:AA:47,2020-07-09 21:32:05,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
98,DC:A6:32:33:AA:47,2020-07-09 21:32:07,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
99,DC:A6:32:33:AA:47,2020-07-09 21:32:09,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
100,DC:A6:32:33:AA:47,2020-07-09 21:32:09,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
