SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 21:40:34,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,0.1776887505
1,DC:A6:32:33:AA:47,2020-07-09 21:40:34,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-33,0.0005011872336,
2,DC:A6:32:33:AA:47,2020-07-09 21:40:35,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-31,0.0007943282347,
3,DC:A6:32:33:AA:47,2020-07-09 21:40:37,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
4,DC:A6:32:33:AA:47,2020-07-09 21:40:38,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
5,DC:A6:32:33:AA:47,2020-07-09 21:40:40,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
6,DC:A6:32:33:AA:47,2020-07-09 21:40:41,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
7,DC:A6:32:33:AA:47,2020-07-09 21:40:42,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
8,DC:A6:32:33:AA:47,2020-07-09 21:40:43,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
9,DC:A6:32:33:AA:47,2020-07-09 21:40:45,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
10,DC:A6:32:33:AA:47,2020-07-09 21:40:45,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
11,DC:A6:32:33:AA:47,2020-07-09 21:40:47,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
12,DC:A6:32:33:AA:47,2020-07-09 21:40:48,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
13,DC:A6:32:33:AA:47,2020-07-09 21:40:50,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
14,DC:A6:32:33:AA:47,2020-07-09 21:40:52,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
15,DC:A6:32:33:AA:47,2020-07-09 21:40:54,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
16,DC:A6:32:33:AA:47,2020-07-09 21:40:56,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
17,DC:A6:32:33:AA:47,2020-07-09 21:40:58,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
18,DC:A6:32:33:AA:47,2020-07-09 21:40:58,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
19,DC:A6:32:33:AA:47,2020-07-09 21:41:00,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
20,DC:A6:32:33:AA:47,2020-07-09 21:41:02,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
21,DC:A6:32:33:AA:47,2020-07-09 21:41:02,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
22,DC:A6:32:33:AA:47,2020-07-09 21:41:04,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
23,DC:A6:32:33:AA:47,2020-07-09 21:41:06,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
24,DC:A6:32:33:AA:47,2020-07-09 21:41:06,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
25,DC:A6:32:33:AA:47,2020-07-09 21:41:08,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
26,DC:A6:32:33:AA:47,2020-07-09 21:41:09,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
27,DC:A6:32:33:AA:47,2020-07-09 21:41:10,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
28,DC:A6:32:33:AA:47,2020-07-09 21:41:12,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
29,DC:A6:32:33:AA:47,2020-07-09 21:41:12,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
30,DC:A6:32:33:AA:47,2020-07-09 21:41:14,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
31,DC:A6:32:33:AA:47,2020-07-09 21:41:15,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
32,DC:A6:32:33:AA:47,2020-07-09 21:41:16,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
33,DC:A6:32:33:AA:47,2020-07-09 21:41:18,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-36,0.0002511886432,
34,DC:A6:32:33:AA:47,2020-07-09 21:41:19,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-36,0.0002511886432,
35,DC:A6:32:33:AA:47,2020-07-09 21:41:20,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-36,0.0002511886432,
36,DC:A6:32:33:AA:47,2020-07-09 21:41:21,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
37,DC:A6:32:33:AA:47,2020-07-09 21:41:23,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
38,DC:A6:32:33:AA:47,2020-07-09 21:41:24,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
39,DC:A6:32:33:AA:47,2020-07-09 21:41:25,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
40,DC:A6:32:33:AA:47,2020-07-09 21:41:26,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
41,DC:A6:32:33:AA:47,2020-07-09 21:41:27,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
42,DC:A6:32:33:AA:47,2020-07-09 21:41:29,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
43,DC:A6:32:33:AA:47,2020-07-09 21:41:31,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
44,DC:A6:32:33:AA:47,2020-07-09 21:41:31,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
45,DC:A6:32:33:AA:47,2020-07-09 21:41:33,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
46,DC:A6:32:33:AA:47,2020-07-09 21:41:35,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
47,DC:A6:32:33:AA:47,2020-07-09 21:41:36,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
48,DC:A6:32:33:AA:47,2020-07-09 21:41:37,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
49,DC:A6:32:33:AA:47,2020-07-09 21:41:38,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
50,DC:A6:32:33:AA:47,2020-07-09 21:41:40,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
51,DC:A6:32:33:AA:47,2020-07-09 21:41:41,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
52,DC:A6:32:33:AA:47,2020-07-09 21:41:42,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
53,DC:A6:32:33:AA:47,2020-07-09 21:41:44,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
54,DC:A6:32:33:AA:47,2020-07-09 21:41:46,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-36,0.0002511886432,
55,DC:A6:32:33:AA:47,2020-07-09 21:41:48,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
56,DC:A6:32:33:AA:47,2020-07-09 21:41:50,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
57,DC:A6:32:33:AA:47,2020-07-09 21:41:52,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
58,DC:A6:32:33:AA:47,2020-07-09 21:41:54,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
59,DC:A6:32:33:AA:47,2020-07-09 21:41:55,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
60,DC:A6:32:33:AA:47,2020-07-09 21:41:56,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
61,DC:A6:32:33:AA:47,2020-07-09 21:41:58,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
62,DC:A6:32:33:AA:47,2020-07-09 21:42:00,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
63,DC:A6:32:33:AA:47,2020-07-09 21:42:02,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
64,DC:A6:32:33:AA:47,2020-07-09 21:42:04,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
65,DC:A6:32:33:AA:47,2020-07-09 21:42:06,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
66,DC:A6:32:33:AA:47,2020-07-09 21:42:08,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-36,0.0002511886432,
67,DC:A6:32:33:AA:47,2020-07-09 21:42:08,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-36,0.0002511886432,
68,DC:A6:32:33:AA:47,2020-07-09 21:42:10,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
69,DC:A6:32:33:AA:47,2020-07-09 21:42:12,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
70,DC:A6:32:33:AA:47,2020-07-09 21:42:14,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-31,0.0007943282347,
71,DC:A6:32:33:AA:47,2020-07-09 21:42:16,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
72,DC:A6:32:33:AA:47,2020-07-09 21:42:17,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
73,DC:A6:32:33:AA:47,2020-07-09 21:42:19,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-31,0.0007943282347,
74,DC:A6:32:33:AA:47,2020-07-09 21:42:19,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
75,DC:A6:32:33:AA:47,2020-07-09 21:42:20,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
76,DC:A6:32:33:AA:47,2020-07-09 21:42:22,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
77,DC:A6:32:33:AA:47,2020-07-09 21:42:24,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
78,DC:A6:32:33:AA:47,2020-07-09 21:42:25,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
79,DC:A6:32:33:AA:47,2020-07-09 21:42:27,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
80,DC:A6:32:33:AA:47,2020-07-09 21:42:28,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
81,DC:A6:32:33:AA:47,2020-07-09 21:42:30,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
82,DC:A6:32:33:AA:47,2020-07-09 21:42:32,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
83,DC:A6:32:33:AA:47,2020-07-09 21:42:33,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
84,DC:A6:32:33:AA:47,2020-07-09 21:42:34,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
85,DC:A6:32:33:AA:47,2020-07-09 21:42:35,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
86,DC:A6:32:33:AA:47,2020-07-09 21:42:38,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
87,DC:A6:32:33:AA:47,2020-07-09 21:42:40,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
88,DC:A6:32:33:AA:47,2020-07-09 21:42:42,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
89,DC:A6:32:33:AA:47,2020-07-09 21:42:42,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
90,DC:A6:32:33:AA:47,2020-07-09 21:42:44,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
91,DC:A6:32:33:AA:47,2020-07-09 21:42:46,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
92,DC:A6:32:33:AA:47,2020-07-09 21:42:46,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-33,0.0005011872336,
93,DC:A6:32:33:AA:47,2020-07-09 21:42:48,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
94,DC:A6:32:33:AA:47,2020-07-09 21:42:48,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-31,0.0007943282347,
95,DC:A6:32:33:AA:47,2020-07-09 21:42:49,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
96,DC:A6:32:33:AA:47,2020-07-09 21:42:51,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
97,DC:A6:32:33:AA:47,2020-07-09 21:42:53,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
98,DC:A6:32:33:AA:47,2020-07-09 21:42:55,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
99,DC:A6:32:33:AA:47,2020-07-09 21:42:56,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-33,0.0005011872336,
100,DC:A6:32:33:AA:47,2020-07-09 21:42:58,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
101,DC:A6:32:33:AA:47,2020-07-09 21:42:59,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
102,DC:A6:32:33:AA:47,2020-07-09 21:43:00,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
103,DC:A6:32:33:AA:47,2020-07-09 21:43:01,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
104,DC:A6:32:33:AA:47,2020-07-09 21:43:02,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
105,DC:A6:32:33:AA:47,2020-07-09 21:43:04,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-31,0.0007943282347,
106,DC:A6:32:33:AA:47,2020-07-09 21:43:06,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
107,DC:A6:32:33:AA:47,2020-07-09 21:43:08,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
108,DC:A6:32:33:AA:47,2020-07-09 21:43:10,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
109,DC:A6:32:33:AA:47,2020-07-09 21:43:12,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
110,DC:A6:32:33:AA:47,2020-07-09 21:43:13,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
111,DC:A6:32:33:AA:47,2020-07-09 21:43:15,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
112,DC:A6:32:33:AA:47,2020-07-09 21:43:16,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-33,0.0005011872336,
113,DC:A6:32:33:AA:47,2020-07-09 21:43:17,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-33,0.0005011872336,
114,DC:A6:32:33:AA:47,2020-07-09 21:43:19,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
115,DC:A6:32:33:AA:47,2020-07-09 21:43:20,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
116,DC:A6:32:33:AA:47,2020-07-09 21:43:22,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
117,DC:A6:32:33:AA:47,2020-07-09 21:43:22,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-31,0.0007943282347,
118,DC:A6:32:33:AA:47,2020-07-09 21:43:23,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
119,DC:A6:32:33:AA:47,2020-07-09 21:43:25,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
120,DC:A6:32:33:AA:47,2020-07-09 21:43:25,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
121,DC:A6:32:33:AA:47,2020-07-09 21:43:26,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
