SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-07 18:24:25.377397,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
1,DC:A6:32:33:AA:47,2020-07-07 18:24:26.074236,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
2,DC:A6:32:33:AA:47,2020-07-07 18:24:28.079358,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
3,DC:A6:32:33:AA:47,2020-07-07 18:24:29.349451,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
4,DC:A6:32:33:AA:47,2020-07-07 18:24:30.479420,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
5,DC:A6:32:33:AA:47,2020-07-07 18:24:31.011852,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
6,DC:A6:32:33:AA:47,2020-07-07 18:24:33.016889,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
7,DC:A6:32:33:AA:47,2020-07-07 18:24:34.005003,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
8,DC:A6:32:33:AA:47,2020-07-07 18:24:36.053226,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
9,DC:A6:32:33:AA:47,2020-07-07 18:24:38.058330,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
10,DC:A6:32:33:AA:47,2020-07-07 18:24:40.063315,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
11,DC:A6:32:33:AA:47,2020-07-07 18:24:42.068434,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
12,DC:A6:32:33:AA:47,2020-07-07 18:24:43.733401,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
13,DC:A6:32:33:AA:47,2020-07-07 18:24:44.150849,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
14,DC:A6:32:33:AA:47,2020-07-07 18:24:46.155946,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-47
15,DC:A6:32:33:AA:47,2020-07-07 18:24:47.281297,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
16,DC:A6:32:33:AA:47,2020-07-07 18:24:49.019697,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
17,DC:A6:32:33:AA:47,2020-07-07 18:24:50.040982,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
18,DC:A6:32:33:AA:47,2020-07-07 18:24:51.459767,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
19,DC:A6:32:33:AA:47,2020-07-07 18:24:52.501746,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
20,DC:A6:32:33:AA:47,2020-07-07 18:24:53.053583,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
21,DC:A6:32:33:AA:47,2020-07-07 18:24:55.058597,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
22,DC:A6:32:33:AA:47,2020-07-07 18:24:56.068736,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
23,DC:A6:32:33:AA:47,2020-07-07 18:24:57.291171,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
24,DC:A6:32:33:AA:47,2020-07-07 18:24:58.035629,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
25,DC:A6:32:33:AA:47,2020-07-07 18:25:00.039974,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
26,DC:A6:32:33:AA:47,2020-07-07 18:25:01.828139,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
27,DC:A6:32:33:AA:47,2020-07-07 18:25:02.006836,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
28,DC:A6:32:33:AA:47,2020-07-07 18:25:03.202992,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
29,DC:A6:32:33:AA:47,2020-07-07 18:25:04.028199,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
30,DC:A6:32:33:AA:47,2020-07-07 18:25:06.032628,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
31,DC:A6:32:33:AA:47,2020-07-07 18:25:07.315131,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
32,DC:A6:32:33:AA:47,2020-07-07 18:25:09.320306,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
33,DC:A6:32:33:AA:47,2020-07-07 18:25:10.110235,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
34,DC:A6:32:33:AA:47,2020-07-07 18:25:12.115349,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
35,DC:A6:32:33:AA:47,2020-07-07 18:25:13.210260,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
36,DC:A6:32:33:AA:47,2020-07-07 18:25:15.215454,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
37,DC:A6:32:33:AA:47,2020-07-07 18:25:17.220415,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
38,DC:A6:32:33:AA:47,2020-07-07 18:25:18.417879,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
39,DC:A6:32:33:AA:47,2020-07-07 18:25:19.729145,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
40,DC:A6:32:33:AA:47,2020-07-07 18:25:20.104145,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
41,DC:A6:32:33:AA:47,2020-07-07 18:25:22.109333,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
42,DC:A6:32:33:AA:47,2020-07-07 18:25:23.245541,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
43,DC:A6:32:33:AA:47,2020-07-07 18:25:25.250524,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
44,DC:A6:32:33:AA:47,2020-07-07 18:25:27.259223,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
45,DC:A6:32:33:AA:47,2020-07-07 18:25:28.214393,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
46,DC:A6:32:33:AA:47,2020-07-07 18:25:29.353120,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
47,DC:A6:32:33:AA:47,2020-07-07 18:25:31.358176,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
48,DC:A6:32:33:AA:47,2020-07-07 18:25:32.379951,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
49,DC:A6:32:33:AA:47,2020-07-07 18:25:34.129523,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
50,DC:A6:32:33:AA:47,2020-07-07 18:25:35.490779,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
51,DC:A6:32:33:AA:47,2020-07-07 18:25:37.340808,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
52,DC:A6:32:33:AA:47,2020-07-07 18:25:38.443380,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
53,DC:A6:32:33:AA:47,2020-07-07 18:25:39.267775,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
54,DC:A6:32:33:AA:47,2020-07-07 18:25:40.640947,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
55,DC:A6:32:33:AA:47,2020-07-07 18:25:42.645995,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
56,DC:A6:32:33:AA:47,2020-07-07 18:25:43.032165,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
57,DC:A6:32:33:AA:47,2020-07-07 18:25:44.134773,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
58,DC:A6:32:33:AA:47,2020-07-07 18:25:46.056026,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
59,DC:A6:32:33:AA:47,2020-07-07 18:25:47.556036,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
60,DC:A6:32:33:AA:47,2020-07-07 18:25:48.248574,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
61,DC:A6:32:33:AA:47,2020-07-07 18:25:49.116057,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
62,DC:A6:32:33:AA:47,2020-07-07 18:25:51.121217,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
63,DC:A6:32:33:AA:47,2020-07-07 18:25:52.083698,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
64,DC:A6:32:33:AA:47,2020-07-07 18:25:54.088692,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
65,DC:A6:32:33:AA:47,2020-07-07 18:25:56.093751,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
66,DC:A6:32:33:AA:47,2020-07-07 18:25:57.852646,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
67,DC:A6:32:33:AA:47,2020-07-07 18:25:58.015009,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
68,DC:A6:32:33:AA:47,2020-07-07 18:25:59.421308,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
69,DC:A6:32:33:AA:47,2020-07-07 18:26:00.522583,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54
70,DC:A6:32:33:AA:47,2020-07-07 18:26:01.895231,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
71,DC:A6:32:33:AA:47,2020-07-07 18:26:02.085103,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
72,DC:A6:32:33:AA:47,2020-07-07 18:26:04.093422,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
73,DC:A6:32:33:AA:47,2020-07-07 18:26:05.120235,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
74,DC:A6:32:33:AA:47,2020-07-07 18:26:06.281490,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
75,DC:A6:32:33:AA:47,2020-07-07 18:26:08.058989,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
76,DC:A6:32:33:AA:47,2020-07-07 18:26:10.067554,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
77,DC:A6:32:33:AA:47,2020-07-07 18:26:12.072982,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
78,DC:A6:32:33:AA:47,2020-07-07 18:26:13.160394,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
79,DC:A6:32:33:AA:47,2020-07-07 18:26:15.169186,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
80,DC:A6:32:33:AA:47,2020-07-07 18:26:17.174309,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
81,DC:A6:32:33:AA:47,2020-07-07 18:26:18.456913,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
82,DC:A6:32:33:AA:47,2020-07-07 18:26:19.235571,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
83,DC:A6:32:33:AA:47,2020-07-07 18:26:20.044283,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
84,DC:A6:32:33:AA:47,2020-07-07 18:26:21.134392,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
85,DC:A6:32:33:AA:47,2020-07-07 18:26:22.221861,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
86,DC:A6:32:33:AA:47,2020-07-07 18:26:24.127505,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
87,DC:A6:32:33:AA:47,2020-07-07 18:26:26.135290,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
88,DC:A6:32:33:AA:47,2020-07-07 18:26:27.212014,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
89,DC:A6:32:33:AA:47,2020-07-07 18:26:28.314553,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
90,DC:A6:32:33:AA:47,2020-07-07 18:26:29.145760,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
91,DC:A6:32:33:AA:47,2020-07-07 18:26:31.154426,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
92,DC:A6:32:33:AA:47,2020-07-07 18:26:32.162154,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
93,DC:A6:32:33:AA:47,2020-07-07 18:26:33.327743,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57
94,DC:A6:32:33:AA:47,2020-07-07 18:26:35.020237,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
95,DC:A6:32:33:AA:47,2020-07-07 18:26:36.083441,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
96,DC:A6:32:33:AA:47,2020-07-07 18:26:37.274860,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
97,DC:A6:32:33:AA:47,2020-07-07 18:26:38.194114,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
98,DC:A6:32:33:AA:47,2020-07-07 18:26:39.014740,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
99,DC:A6:32:33:AA:47,2020-07-07 18:26:40.384139,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
100,DC:A6:32:33:AA:47,2020-07-07 18:26:41.751752,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
101,DC:A6:32:33:AA:47,2020-07-07 18:26:42.017938,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
102,DC:A6:32:33:AA:47,2020-07-07 18:26:44.022491,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
103,DC:A6:32:33:AA:47,2020-07-07 18:26:46.027458,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
104,DC:A6:32:33:AA:47,2020-07-07 18:26:47.645713,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
105,DC:A6:32:33:AA:47,2020-07-07 18:26:48.023703,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
106,DC:A6:32:33:AA:47,2020-07-07 18:26:49.660157,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
107,DC:A6:32:33:AA:47,2020-07-07 18:26:50.373183,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
108,DC:A6:32:33:AA:47,2020-07-07 18:26:51.087536,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
109,DC:A6:32:33:AA:47,2020-07-07 18:26:52.183815,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
110,DC:A6:32:33:AA:47,2020-07-07 18:26:53.132580,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
111,DC:A6:32:33:AA:47,2020-07-07 18:26:55.137707,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
112,DC:A6:32:33:AA:47,2020-07-07 18:26:56.035222,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
113,DC:A6:32:33:AA:47,2020-07-07 18:26:58.040223,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58
114,DC:A6:32:33:AA:47,2020-07-07 18:26:59.442743,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
115,DC:A6:32:33:AA:47,2020-07-07 18:27:00.537278,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
116,DC:A6:32:33:AA:47,2020-07-07 18:27:01.077828,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-59
117,DC:A6:32:33:AA:47,2020-07-07 18:27:02.184078,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
118,DC:A6:32:33:AA:47,2020-07-07 18:27:03.512833,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
119,DC:A6:32:33:AA:47,2020-07-07 18:27:04.102840,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58
120,DC:A6:32:33:AA:47,2020-07-07 18:27:05.112866,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
121,DC:A6:32:33:AA:47,2020-07-07 18:27:06.302986,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58
122,DC:A6:32:33:AA:47,2020-07-07 18:27:07.139229,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
123,DC:A6:32:33:AA:47,2020-07-07 18:27:08.244224,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
124,DC:A6:32:33:AA:47,2020-07-07 18:27:09.791750,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
125,DC:A6:32:33:AA:47,2020-07-07 18:27:10.049850,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
126,DC:A6:32:33:AA:47,2020-07-07 18:27:11.274274,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
127,DC:A6:32:33:AA:47,2020-07-07 18:27:12.260723,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-59
128,DC:A6:32:33:AA:47,2020-07-07 18:27:13.083192,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
129,DC:A6:32:33:AA:47,2020-07-07 18:27:14.176891,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
130,DC:A6:32:33:AA:47,2020-07-07 18:27:15.276907,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-60
131,DC:A6:32:33:AA:47,2020-07-07 18:27:16.018160,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57
132,DC:A6:32:33:AA:47,2020-07-07 18:27:18.023379,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57
133,DC:A6:32:33:AA:47,2020-07-07 18:27:20.028293,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
134,DC:A6:32:33:AA:47,2020-07-07 18:27:22.033335,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
135,DC:A6:32:33:AA:47,2020-07-07 18:27:23.369195,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
136,DC:A6:32:33:AA:47,2020-07-07 18:27:24.074787,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
137,DC:A6:32:33:AA:47,2020-07-07 18:27:25.180929,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
138,DC:A6:32:33:AA:47,2020-07-07 18:27:27.157291,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
139,DC:A6:32:33:AA:47,2020-07-07 18:27:29.162323,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
140,DC:A6:32:33:AA:47,2020-07-07 18:27:31.167302,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
141,DC:A6:32:33:AA:47,2020-07-07 18:27:32.628579,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
142,DC:A6:32:33:AA:47,2020-07-07 18:27:33.136072,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
143,DC:A6:32:33:AA:47,2020-07-07 18:27:35.144534,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
144,DC:A6:32:33:AA:47,2020-07-07 18:27:37.148767,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
145,DC:A6:32:33:AA:47,2020-07-07 18:27:38.436239,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
146,DC:A6:32:33:AA:47,2020-07-07 18:27:39.973749,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
147,DC:A6:32:33:AA:47,2020-07-07 18:27:40.039976,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
148,DC:A6:32:33:AA:47,2020-07-07 18:27:42.045133,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57
149,DC:A6:32:33:AA:47,2020-07-07 18:27:43.495233,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
150,DC:A6:32:33:AA:47,2020-07-07 18:27:44.043985,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
151,DC:A6:32:33:AA:47,2020-07-07 18:27:46.048961,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
152,DC:A6:32:33:AA:47,2020-07-07 18:27:48.054137,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
153,DC:A6:32:33:AA:47,2020-07-07 18:27:49.729646,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
154,DC:A6:32:33:AA:47,2020-07-07 18:27:51.735358,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
