SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-07 18:48:46.027545,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49
1,DC:A6:32:33:AA:47,2020-07-07 18:48:47.188521,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
2,DC:A6:32:33:AA:47,2020-07-07 18:48:49.193964,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54
3,DC:A6:32:33:AA:47,2020-07-07 18:48:50.227612,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
4,DC:A6:32:33:AA:47,2020-07-07 18:48:51.059509,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
5,DC:A6:32:33:AA:47,2020-07-07 18:48:53.065056,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
6,DC:A6:32:33:AA:47,2020-07-07 18:48:55.070052,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48
7,DC:A6:32:33:AA:47,2020-07-07 18:48:56.125031,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48
8,DC:A6:32:33:AA:47,2020-07-07 18:48:57.479953,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
9,DC:A6:32:33:AA:47,2020-07-07 18:48:58.294896,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54
10,DC:A6:32:33:AA:47,2020-07-07 18:48:59.029243,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
11,DC:A6:32:33:AA:47,2020-07-07 18:49:00.126116,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
12,DC:A6:32:33:AA:47,2020-07-07 18:49:02.134490,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49
13,DC:A6:32:33:AA:47,2020-07-07 18:49:04.139823,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50
14,DC:A6:32:33:AA:47,2020-07-07 18:49:06.144828,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
15,DC:A6:32:33:AA:47,2020-07-07 18:49:08.149764,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48
16,DC:A6:32:33:AA:47,2020-07-07 18:49:10.154667,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
17,DC:A6:32:33:AA:47,2020-07-07 18:49:12.159614,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
18,DC:A6:32:33:AA:47,2020-07-07 18:49:13.105806,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48
19,DC:A6:32:33:AA:47,2020-07-07 18:49:15.110868,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
20,DC:A6:32:33:AA:47,2020-07-07 18:49:17.115799,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
21,DC:A6:32:33:AA:47,2020-07-07 18:49:18.605744,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
22,DC:A6:32:33:AA:47,2020-07-07 18:49:19.223305,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-46
23,DC:A6:32:33:AA:47,2020-07-07 18:49:20.043154,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48
24,DC:A6:32:33:AA:47,2020-07-07 18:49:22.048212,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
25,DC:A6:32:33:AA:47,2020-07-07 18:49:24.026804,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
26,DC:A6:32:33:AA:47,2020-07-07 18:49:25.074390,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
27,DC:A6:32:33:AA:47,2020-07-07 18:49:26.574285,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52
28,DC:A6:32:33:AA:47,2020-07-07 18:49:27.001841,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
29,DC:A6:32:33:AA:47,2020-07-07 18:49:29.006858,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
30,DC:A6:32:33:AA:47,2020-07-07 18:49:30.110480,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55
31,DC:A6:32:33:AA:47,2020-07-07 18:49:32.115624,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56
32,DC:A6:32:33:AA:47,2020-07-07 18:49:34.123774,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49
33,DC:A6:32:33:AA:47,2020-07-07 18:49:35.258515,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51
