SCAN,6ft,5ft,4ft,3ft,2ft,1ft,6ft(log),5ft(log),4ft(log),3ft(log),2ft(log),1ft(log)
466,0.003130257413,0.002345496808,,,0.1072930767,0.1814534774,-25.04419947,-26.29765154,,,-9.694283008,-7.412347045
467,0.003136351875,0.002352247651,,,0.1075070669,0.1816798458,-25.03575219,-26.28516956,,,-9.685629868,-7.406932474
468,0.003145086803,0.00235309723,,,0.1076343003,0.1822955676,-25.02367364,-26.28360127,,,-9.680493081,-7.392238908
469,0.003151740773,0.0023536455,,,0.1078482905,0.1828718282,-25.0144951,-26.28258949,,,-9.671867345,-7.378531934
470,0.00315890043,0.002359014922,,,0.1081102042,0.1831104689,-25.00464063,-26.27269312,,,-9.661333124,-7.372868252
471,0.003164435228,0.002360767405,,,0.1083059772,0.1834437459,-24.99703789,-26.269468,,,-9.653475748,-7.364970899
472,0.003170688621,0.002363419642,,,0.1085561931,0.1839506178,-24.98846406,-26.26459159,,,-9.643453951,-7.352987492
473,0.003175985259,0.002367140428,,,0.1086820856,0.1842133188,-24.98121522,-26.25775977,,,-9.638420361,-7.346789731
474,0.003183213204,0.002370504155,,,0.1088754598,0.1846988059,-24.97134272,-26.25159279,,,-9.630699979,-7.335359123
475,0.003191680681,0.002373060322,,,0.1091514702,0.1852740245,-24.95980565,-26.24691222,,,-9.619704102,-7.321854647
476,0.003198255894,0.002376471221,,,,0.185813661,-24.95086791,-26.24067441,,,,-7.309223599
477,0.003204426258,0.002383438362,,,,0.1862813923,-24.94249718,-26.22796075,,,,-7.298305247
478,0.003213936642,,,,,0.1865124478,-24.92962689,,,,,-7.292921782
479,0.003219505112,,,,,0.1868298332,-24.92210881,,,,,-7.285537739
480,0.003228337384,,,,,0.1870947636,-24.91021085,,,,,-7.279383673
481,0.003234941829,,,,,,-24.90133524,,,,,
482,0.003244039,,,,,,-24.88913933,,,,,
483,0.003249704682,,,,,,-24.88156104,,,,,
484,0.003256439285,,,,,,-24.87257015,,,,,
485,0.003261852625,,,,,,-24.86535665,,,,,
486,0.003268275193,,,,,,-24.85681382,,,,,
487,0.003274375596,,,,,,-24.84871505,,,,,
488,0.003281846837,,,,,,-24.83881691,,,,,
489,0.003289403935,,,,,,-24.82882792,,,,,
490,0.003294584426,,,,,,-24.82199359,,,,,
491,0.003298648326,,,,,,-24.81663983,,,,,
492,0.00330501126,,,,,,-24.80827057,,,,,
493,0.00331066642,,,,,,-24.80084576,,,,,
494,0.003315839266,,,,,,-24.7940653,,,,,
