SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 15:08:18,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,0.03032551929
1,DC:A6:32:33:AA:47,2020-07-09 15:08:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
2,DC:A6:32:33:AA:47,2020-07-09 15:08:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
3,DC:A6:32:33:AA:47,2020-07-09 15:08:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
4,DC:A6:32:33:AA:47,2020-07-09 15:08:22,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
5,DC:A6:32:33:AA:47,2020-07-09 15:08:24,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
6,DC:A6:32:33:AA:47,2020-07-09 15:08:25,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
7,DC:A6:32:33:AA:47,2020-07-09 15:08:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
8,DC:A6:32:33:AA:47,2020-07-09 15:08:29,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
9,DC:A6:32:33:AA:47,2020-07-09 15:08:30,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
10,DC:A6:32:33:AA:47,2020-07-09 15:08:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
11,DC:A6:32:33:AA:47,2020-07-09 15:08:33,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
12,DC:A6:32:33:AA:47,2020-07-09 15:08:35,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-36,0.0002511886432,
13,DC:A6:32:33:AA:47,2020-07-09 15:08:36,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
14,DC:A6:32:33:AA:47,2020-07-09 15:08:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
15,DC:A6:32:33:AA:47,2020-07-09 15:08:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
16,DC:A6:32:33:AA:47,2020-07-09 15:08:40,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
17,DC:A6:32:33:AA:47,2020-07-09 15:08:41,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
18,DC:A6:32:33:AA:47,2020-07-09 15:08:43,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
19,DC:A6:32:33:AA:47,2020-07-09 15:08:44,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
20,DC:A6:32:33:AA:47,2020-07-09 15:08:44,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
21,DC:A6:32:33:AA:47,2020-07-09 15:08:45,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
22,DC:A6:32:33:AA:47,2020-07-09 15:08:46,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
23,DC:A6:32:33:AA:47,2020-07-09 15:08:47,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
24,DC:A6:32:33:AA:47,2020-07-09 15:08:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
25,DC:A6:32:33:AA:47,2020-07-09 15:08:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
26,DC:A6:32:33:AA:47,2020-07-09 15:08:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
27,DC:A6:32:33:AA:47,2020-07-09 15:08:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
28,DC:A6:32:33:AA:47,2020-07-09 15:08:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
29,DC:A6:32:33:AA:47,2020-07-09 15:08:56,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
30,DC:A6:32:33:AA:47,2020-07-09 15:08:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
31,DC:A6:32:33:AA:47,2020-07-09 15:08:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
32,DC:A6:32:33:AA:47,2020-07-09 15:09:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
33,DC:A6:32:33:AA:47,2020-07-09 15:09:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-36,0.0002511886432,
34,DC:A6:32:33:AA:47,2020-07-09 15:09:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
35,DC:A6:32:33:AA:47,2020-07-09 15:09:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
36,DC:A6:32:33:AA:47,2020-07-09 15:09:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
37,DC:A6:32:33:AA:47,2020-07-09 15:09:08,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
38,DC:A6:32:33:AA:47,2020-07-09 15:09:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
39,DC:A6:32:33:AA:47,2020-07-09 15:09:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
40,DC:A6:32:33:AA:47,2020-07-09 15:09:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
41,DC:A6:32:33:AA:47,2020-07-09 15:09:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
42,DC:A6:32:33:AA:47,2020-07-09 15:09:13,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
43,DC:A6:32:33:AA:47,2020-07-09 15:09:13,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
44,DC:A6:32:33:AA:47,2020-07-09 15:09:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
45,DC:A6:32:33:AA:47,2020-07-09 15:09:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
46,DC:A6:32:33:AA:47,2020-07-09 15:09:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
47,DC:A6:32:33:AA:47,2020-07-09 15:09:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
48,DC:A6:32:33:AA:47,2020-07-09 15:09:18,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
49,DC:A6:32:33:AA:47,2020-07-09 15:09:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
50,DC:A6:32:33:AA:47,2020-07-09 15:09:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
51,DC:A6:32:33:AA:47,2020-07-09 15:09:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
52,DC:A6:32:33:AA:47,2020-07-09 15:09:25,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
53,DC:A6:32:33:AA:47,2020-07-09 15:09:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
54,DC:A6:32:33:AA:47,2020-07-09 15:09:28,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
55,DC:A6:32:33:AA:47,2020-07-09 15:09:30,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
56,DC:A6:32:33:AA:47,2020-07-09 15:09:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
57,DC:A6:32:33:AA:47,2020-07-09 15:09:34,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
58,DC:A6:32:33:AA:47,2020-07-09 15:09:35,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
59,DC:A6:32:33:AA:47,2020-07-09 15:09:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
60,DC:A6:32:33:AA:47,2020-07-09 15:09:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
61,DC:A6:32:33:AA:47,2020-07-09 15:09:39,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-36,0.0002511886432,
62,DC:A6:32:33:AA:47,2020-07-09 15:09:39,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
63,DC:A6:32:33:AA:47,2020-07-09 15:09:41,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
64,DC:A6:32:33:AA:47,2020-07-09 15:09:43,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
65,DC:A6:32:33:AA:47,2020-07-09 15:09:45,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
66,DC:A6:32:33:AA:47,2020-07-09 15:09:47,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
67,DC:A6:32:33:AA:47,2020-07-09 15:09:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
68,DC:A6:32:33:AA:47,2020-07-09 15:09:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
69,DC:A6:32:33:AA:47,2020-07-09 15:09:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
70,DC:A6:32:33:AA:47,2020-07-09 15:09:52,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
71,DC:A6:32:33:AA:47,2020-07-09 15:09:52,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
72,DC:A6:32:33:AA:47,2020-07-09 15:09:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
73,DC:A6:32:33:AA:47,2020-07-09 15:09:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
74,DC:A6:32:33:AA:47,2020-07-09 15:09:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46,0.00002511886432,
75,DC:A6:32:33:AA:47,2020-07-09 15:09:59,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-47,0.00001995262315,
76,DC:A6:32:33:AA:47,2020-07-09 15:09:59,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
77,DC:A6:32:33:AA:47,2020-07-09 15:10:01,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
78,DC:A6:32:33:AA:47,2020-07-09 15:10:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
79,DC:A6:32:33:AA:47,2020-07-09 15:10:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
80,DC:A6:32:33:AA:47,2020-07-09 15:10:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
81,DC:A6:32:33:AA:47,2020-07-09 15:10:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
82,DC:A6:32:33:AA:47,2020-07-09 15:10:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
83,DC:A6:32:33:AA:47,2020-07-09 15:10:08,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48,0.00001584893192,
84,DC:A6:32:33:AA:47,2020-07-09 15:10:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-36,0.0002511886432,
85,DC:A6:32:33:AA:47,2020-07-09 15:10:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
86,DC:A6:32:33:AA:47,2020-07-09 15:10:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
87,DC:A6:32:33:AA:47,2020-07-09 15:10:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-36,0.0002511886432,
88,DC:A6:32:33:AA:47,2020-07-09 15:10:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
