SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-09 15:52:08.279419,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
1,DC:A6:32:33:AA:47,2020-07-09 15:52:09.011086,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-64
2,DC:A6:32:33:AA:47,2020-07-09 15:52:10.652486,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-63
3,DC:A6:32:33:AA:47,2020-07-09 15:52:11.062292,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-63
4,DC:A6:32:33:AA:47,2020-07-09 15:52:12.349870,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
5,DC:A6:32:33:AA:47,2020-07-09 15:52:13.688670,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58
6,DC:A6:32:33:AA:47,2020-07-09 15:52:14.218600,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58
7,DC:A6:32:33:AA:47,2020-07-09 15:52:15.615474,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-68
8,DC:A6:32:33:AA:47,2020-07-09 15:52:16.272371,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-49
9,DC:A6:32:33:AA:47,2020-07-09 15:52:17.952416,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-64
10,DC:A6:32:33:AA:47,2020-07-09 15:52:18.012404,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65
11,DC:A6:32:33:AA:47,2020-07-09 15:52:19.166757,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65
12,DC:A6:32:33:AA:47,2020-07-09 15:52:21.007494,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65
13,DC:A6:32:33:AA:47,2020-07-09 15:52:22.097443,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
14,DC:A6:32:33:AA:47,2020-07-09 15:52:24.102450,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
15,DC:A6:32:33:AA:47,2020-07-09 15:52:26.110158,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
16,DC:A6:32:33:AA:47,2020-07-09 15:52:27.215721,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
17,DC:A6:32:33:AA:47,2020-07-09 15:52:28.323765,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-49
18,DC:A6:32:33:AA:47,2020-07-09 15:52:30.301269,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
19,DC:A6:32:33:AA:47,2020-07-09 15:52:31.332206,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65
20,DC:A6:32:33:AA:47,2020-07-09 15:52:32.170079,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
21,DC:A6:32:33:AA:47,2020-07-09 15:52:33.300056,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
22,DC:A6:32:33:AA:47,2020-07-09 15:52:34.031288,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-59
23,DC:A6:32:33:AA:47,2020-07-09 15:52:35.764434,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-65
24,DC:A6:32:33:AA:47,2020-07-09 15:52:36.697666,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
25,DC:A6:32:33:AA:47,2020-07-09 15:52:37.053248,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-66
