SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-09 16:02:27.748666,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
1,DC:A6:32:33:AA:47,2020-07-09 16:02:28.049497,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-70
2,DC:A6:32:33:AA:47,2020-07-09 16:02:30.054292,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-68
3,DC:A6:32:33:AA:47,2020-07-09 16:02:32.059405,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
4,DC:A6:32:33:AA:47,2020-07-09 16:02:33.038621,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-73
5,DC:A6:32:33:AA:47,2020-07-09 16:02:34.339321,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-47
6,DC:A6:32:33:AA:47,2020-07-09 16:02:36.344277,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-74
7,DC:A6:32:33:AA:47,2020-07-09 16:02:37.437997,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
8,DC:A6:32:33:AA:47,2020-07-09 16:02:38.411108,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
9,DC:A6:32:33:AA:47,2020-07-09 16:02:40.416768,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-78
10,DC:A6:32:33:AA:47,2020-07-09 16:02:42.210619,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-56
11,DC:A6:32:33:AA:47,2020-07-09 16:02:43.579426,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-56
12,DC:A6:32:33:AA:47,2020-07-09 16:02:44.060562,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
13,DC:A6:32:33:AA:47,2020-07-09 16:02:45.710577,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
14,DC:A6:32:33:AA:47,2020-07-09 16:02:46.295605,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
15,DC:A6:32:33:AA:47,2020-07-09 16:02:47.283137,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-71
16,DC:A6:32:33:AA:47,2020-07-09 16:02:48.385708,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
17,DC:A6:32:33:AA:47,2020-07-09 16:02:50.303159,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-73
18,DC:A6:32:33:AA:47,2020-07-09 16:02:51.950650,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
19,DC:A6:32:33:AA:47,2020-07-09 16:02:52.029379,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
20,DC:A6:32:33:AA:47,2020-07-09 16:02:53.636941,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-76
21,DC:A6:32:33:AA:47,2020-07-09 16:02:54.165732,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
22,DC:A6:32:33:AA:47,2020-07-09 16:02:56.170716,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-76
23,DC:A6:32:33:AA:47,2020-07-09 16:02:58.006937,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
24,DC:A6:32:33:AA:47,2020-07-09 16:02:59.108345,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-74
25,DC:A6:32:33:AA:47,2020-07-09 16:03:01.011329,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
26,DC:A6:32:33:AA:47,2020-07-09 16:03:03.015803,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-74
27,DC:A6:32:33:AA:47,2020-07-09 16:03:05.020857,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-55
