SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-09 15:41:49.263079,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-64
1,DC:A6:32:33:AA:47,2020-07-09 15:41:50.440731,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-64
2,DC:A6:32:33:AA:47,2020-07-09 15:41:51.285595,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-50
3,DC:A6:32:33:AA:47,2020-07-09 15:41:53.160632,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
4,DC:A6:32:33:AA:47,2020-07-09 15:41:55.165693,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-56
5,DC:A6:32:33:AA:47,2020-07-09 15:41:56.931900,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-56
6,DC:A6:32:33:AA:47,2020-07-09 15:41:57.011787,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-68
7,DC:A6:32:33:AA:47,2020-07-09 15:41:58.023064,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-69
8,DC:A6:32:33:AA:47,2020-07-09 15:42:00.028260,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-59
9,DC:A6:32:33:AA:47,2020-07-09 15:42:01.788782,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-47
10,DC:A6:32:33:AA:47,2020-07-09 15:42:02.057469,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
11,DC:A6:32:33:AA:47,2020-07-09 15:42:03.423112,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58
12,DC:A6:32:33:AA:47,2020-07-09 15:42:04.611883,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-69
13,DC:A6:32:33:AA:47,2020-07-09 15:42:05.136890,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-69
14,DC:A6:32:33:AA:47,2020-07-09 15:42:06.784487,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-69
15,DC:A6:32:33:AA:47,2020-07-09 15:42:07.226907,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58
16,DC:A6:32:33:AA:47,2020-07-09 15:42:09.231977,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-59
17,DC:A6:32:33:AA:47,2020-07-09 15:42:10.830783,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-70
18,DC:A6:32:33:AA:47,2020-07-09 15:42:11.026963,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
19,DC:A6:32:33:AA:47,2020-07-09 15:42:12.016962,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58
20,DC:A6:32:33:AA:47,2020-07-09 15:42:14.022112,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-58
21,DC:A6:32:33:AA:47,2020-07-09 15:42:15.604520,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-49
22,DC:A6:32:33:AA:47,2020-07-09 15:42:16.457014,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-70
23,DC:A6:32:33:AA:47,2020-07-09 15:42:17.822029,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
24,DC:A6:32:33:AA:47,2020-07-09 15:42:18.006992,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
25,DC:A6:32:33:AA:47,2020-07-09 15:42:20.012108,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-57
26,DC:A6:32:33:AA:47,2020-07-09 15:42:21.163339,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-47
27,DC:A6:32:33:AA:47,2020-07-09 15:42:23.168415,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-70
