SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW) ,Total Sum
125,DC:A6:32:33:AA:47,2020-07-07 17:33:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
126,DC:A6:32:33:AA:47,2020-07-07 17:33:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
127,DC:A6:32:33:AA:47,2020-07-07 17:33:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
128,DC:A6:32:33:AA:47,2020-07-07 17:33:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
129,DC:A6:32:33:AA:47,2020-07-07 17:33:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
130,DC:A6:32:33:AA:47,2020-07-07 17:33:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
131,DC:A6:32:33:AA:47,2020-07-07 17:33:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
132,DC:A6:32:33:AA:47,2020-07-07 17:33:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
133,DC:A6:32:33:AA:47,2020-07-07 17:33:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
134,DC:A6:32:33:AA:47,2020-07-07 17:33:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
135,DC:A6:32:33:AA:47,2020-07-07 17:33:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
136,DC:A6:32:33:AA:47,2020-07-07 17:33:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
137,DC:A6:32:33:AA:47,2020-07-07 17:33:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
138,DC:A6:32:33:AA:47,2020-07-07 17:33:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
139,DC:A6:32:33:AA:47,2020-07-07 17:33:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
140,DC:A6:32:33:AA:47,2020-07-07 17:33:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
141,DC:A6:32:33:AA:47,2020-07-07 17:33:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
142,DC:A6:32:33:AA:47,2020-07-07 17:33:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
143,DC:A6:32:33:AA:47,2020-07-07 17:33:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
144,DC:A6:32:33:AA:47,2020-07-07 17:33:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
145,DC:A6:32:33:AA:47,2020-07-07 17:33:33,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
146,DC:A6:32:33:AA:47,2020-07-07 17:33:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
147,DC:A6:32:33:AA:47,2020-07-07 17:33:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
148,DC:A6:32:33:AA:47,2020-07-07 17:33:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
149,DC:A6:32:33:AA:47,2020-07-07 17:33:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
150,DC:A6:32:33:AA:47,2020-07-07 17:33:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
151,DC:A6:32:33:AA:47,2020-07-07 17:33:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
