SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
375,DC:A6:32:33:AA:47,2020-07-07 18:32:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
376,DC:A6:32:33:AA:47,2020-07-07 18:32:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
377,DC:A6:32:33:AA:47,2020-07-07 18:32:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
378,DC:A6:32:33:AA:47,2020-07-07 18:33:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
379,DC:A6:32:33:AA:47,2020-07-07 18:33:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
380,DC:A6:32:33:AA:47,2020-07-07 18:33:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
381,DC:A6:32:33:AA:47,2020-07-07 18:33:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
382,DC:A6:32:33:AA:47,2020-07-07 18:33:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
383,DC:A6:32:33:AA:47,2020-07-07 18:33:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
384,DC:A6:32:33:AA:47,2020-07-07 18:33:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48,0.00001584893192,
385,DC:A6:32:33:AA:47,2020-07-07 18:33:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
386,DC:A6:32:33:AA:47,2020-07-07 18:33:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
387,DC:A6:32:33:AA:47,2020-07-07 18:33:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
388,DC:A6:32:33:AA:47,2020-07-07 18:33:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
389,DC:A6:32:33:AA:47,2020-07-07 18:33:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
390,DC:A6:32:33:AA:47,2020-07-07 18:33:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
391,DC:A6:32:33:AA:47,2020-07-07 18:33:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
392,DC:A6:32:33:AA:47,2020-07-07 18:33:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
393,DC:A6:32:33:AA:47,2020-07-07 18:33:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
394,DC:A6:32:33:AA:47,2020-07-07 18:33:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
395,DC:A6:32:33:AA:47,2020-07-07 18:33:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
396,DC:A6:32:33:AA:47,2020-07-07 18:33:33,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
397,DC:A6:32:33:AA:47,2020-07-07 18:33:33,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
398,DC:A6:32:33:AA:47,2020-07-07 18:33:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
399,DC:A6:32:33:AA:47,2020-07-07 18:33:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
400,DC:A6:32:33:AA:47,2020-07-07 18:33:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
401,DC:A6:32:33:AA:47,2020-07-07 18:33:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
402,DC:A6:32:33:AA:47,2020-07-07 18:33:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
403,DC:A6:32:33:AA:47,2020-07-07 18:33:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
