SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-09 17:25:00.056335,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
1,DC:A6:32:33:AA:47,2020-07-09 17:25:01.737577,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40
2,DC:A6:32:33:AA:47,2020-07-09 17:25:02.023729,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34
3,DC:A6:32:33:AA:47,2020-07-09 17:25:03.428709,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
4,DC:A6:32:33:AA:47,2020-07-09 17:25:04.532948,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34
5,DC:A6:32:33:AA:47,2020-07-09 17:25:05.010074,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
6,DC:A6:32:33:AA:47,2020-07-09 17:25:06.068812,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
7,DC:A6:32:33:AA:47,2020-07-09 17:25:07.645711,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
8,DC:A6:32:33:AA:47,2020-07-09 17:25:08.247582,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
9,DC:A6:32:33:AA:47,2020-07-09 17:25:09.023864,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
10,DC:A6:32:33:AA:47,2020-07-09 17:25:10.136112,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
11,DC:A6:32:33:AA:47,2020-07-09 17:25:12.055366,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34
12,DC:A6:32:33:AA:47,2020-07-09 17:25:13.690294,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
13,DC:A6:32:33:AA:47,2020-07-09 17:25:14.101597,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
14,DC:A6:32:33:AA:47,2020-07-09 17:25:15.565388,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
15,DC:A6:32:33:AA:47,2020-07-09 17:25:16.191654,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
16,DC:A6:32:33:AA:47,2020-07-09 17:25:17.565406,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34
17,DC:A6:32:33:AA:47,2020-07-09 17:25:18.330433,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
18,DC:A6:32:33:AA:47,2020-07-09 17:25:19.760506,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
19,DC:A6:32:33:AA:47,2020-07-09 17:25:20.231705,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
20,DC:A6:32:33:AA:47,2020-07-09 17:25:21.401660,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
21,DC:A6:32:33:AA:47,2020-07-09 17:25:22.251792,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
22,DC:A6:32:33:AA:47,2020-07-09 17:25:23.224318,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
23,DC:A6:32:33:AA:47,2020-07-09 17:25:25.229377,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
24,DC:A6:32:33:AA:47,2020-07-09 17:25:26.038114,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
25,DC:A6:32:33:AA:47,2020-07-09 17:25:27.409524,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
26,DC:A6:32:33:AA:47,2020-07-09 17:25:29.414544,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
27,DC:A6:32:33:AA:47,2020-07-09 17:25:31.419666,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
28,DC:A6:32:33:AA:47,2020-07-09 17:25:33.424695,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
29,DC:A6:32:33:AA:47,2020-07-09 17:25:34.375907,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34
30,DC:A6:32:33:AA:47,2020-07-09 17:25:36.352233,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
31,DC:A6:32:33:AA:47,2020-07-09 17:25:37.211016,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34
32,DC:A6:32:33:AA:47,2020-07-09 17:25:39.216112,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
33,DC:A6:32:33:AA:47,2020-07-09 17:25:41.221331,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
34,DC:A6:32:33:AA:47,2020-07-09 17:25:43.226201,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
35,DC:A6:32:33:AA:47,2020-07-09 17:25:45.234592,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34
36,DC:A6:32:33:AA:47,2020-07-09 17:25:47.240129,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
37,DC:A6:32:33:AA:47,2020-07-09 17:25:49.245115,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
38,DC:A6:32:33:AA:47,2020-07-09 17:25:50.161445,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
39,DC:A6:32:33:AA:47,2020-07-09 17:25:52.166551,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
40,DC:A6:32:33:AA:47,2020-07-09 17:25:53.116477,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
41,DC:A6:32:33:AA:47,2020-07-09 17:25:55.121572,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
42,DC:A6:32:33:AA:47,2020-07-09 17:25:57.126629,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
43,DC:A6:32:33:AA:47,2020-07-09 17:25:59.131731,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
44,DC:A6:32:33:AA:47,2020-07-09 17:26:00.355469,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
45,DC:A6:32:33:AA:47,2020-07-09 17:26:02.360538,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34
46,DC:A6:32:33:AA:47,2020-07-09 17:26:03.911800,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
47,DC:A6:32:33:AA:47,2020-07-09 17:26:04.024292,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
48,DC:A6:32:33:AA:47,2020-07-09 17:26:05.601937,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
49,DC:A6:32:33:AA:47,2020-07-09 17:26:06.436881,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
50,DC:A6:32:33:AA:47,2020-07-09 17:26:07.064388,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
51,DC:A6:32:33:AA:47,2020-07-09 17:26:08.084474,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
52,DC:A6:32:33:AA:47,2020-07-09 17:26:10.089568,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
53,DC:A6:32:33:AA:47,2020-07-09 17:26:12.094694,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
54,DC:A6:32:33:AA:47,2020-07-09 17:26:14.099637,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38
55,DC:A6:32:33:AA:47,2020-07-09 17:26:16.012146,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
56,DC:A6:32:33:AA:47,2020-07-09 17:26:17.618133,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
57,DC:A6:32:33:AA:47,2020-07-09 17:26:18.121096,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
58,DC:A6:32:33:AA:47,2020-07-09 17:26:20.126093,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39
59,DC:A6:32:33:AA:47,2020-07-09 17:26:21.477970,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
60,DC:A6:32:33:AA:47,2020-07-09 17:26:23.483729,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33
