SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 17:48:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,0.09299738224
1,DC:A6:32:33:AA:47,2020-07-09 17:48:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
2,DC:A6:32:33:AA:47,2020-07-09 17:48:07,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
3,DC:A6:32:33:AA:47,2020-07-09 17:48:08,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
4,DC:A6:32:33:AA:47,2020-07-09 17:48:09,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
5,DC:A6:32:33:AA:47,2020-07-09 17:48:11,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
6,DC:A6:32:33:AA:47,2020-07-09 17:48:13,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
7,DC:A6:32:33:AA:47,2020-07-09 17:48:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
8,DC:A6:32:33:AA:47,2020-07-09 17:48:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34,0.0003981071706,
9,DC:A6:32:33:AA:47,2020-07-09 17:48:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
10,DC:A6:32:33:AA:47,2020-07-09 17:48:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
11,DC:A6:32:33:AA:47,2020-07-09 17:48:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
12,DC:A6:32:33:AA:47,2020-07-09 17:48:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34,0.0003981071706,
13,DC:A6:32:33:AA:47,2020-07-09 17:48:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
14,DC:A6:32:33:AA:47,2020-07-09 17:48:22,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
15,DC:A6:32:33:AA:47,2020-07-09 17:48:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34,0.0003981071706,
16,DC:A6:32:33:AA:47,2020-07-09 17:48:25,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
17,DC:A6:32:33:AA:47,2020-07-09 17:48:26,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
