SCAN,2ft_5,2ft_4,2ft_3,2ft_2,2ft_1,Avg,Cum Sum
245,0.0001258925412,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0002009514797,0.05538452189
246,0.0001584893192,0.0005011872336,0.0005011872336,0.0001258925412,0.0001584893192,0.0002890491294,0.05567357102
247,0.0001258925412,0.0001258925412,0.0005011872336,0.0005011872336,0.0001258925412,0.0002760104182,0.05594958144
248,0.0001584893192,0.0001258925412,0.0001258925412,0.0005011872336,0.0001584893192,0.0002139901909,0.05616357163
249,0.0001584893192,0.0005011872336,0.0001258925412,0.0001584893192,0.0003981071706,0.0002684331168,0.05643200474
250,0.0005011872336,0.0001258925412,0.0001258925412,0.0005011872336,0.0003981071706,0.000330453344,0.05676245809
251,0.0005011872336,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0002760104182,0.05703846851
252,0.0001584893192,0.0001584893192,0.0001258925412,0.0005011872336,0.0001258925412,0.0002139901909,0.0572524587
253,0.0005011872336,0.0003981071706,0.0001258925412,0.0005011872336,0.0001258925412,0.000330453344,0.05758291204
254,0.0005011872336,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0002760104182,0.05785892246
255,0.0005011872336,0.0001258925412,0.0005011872336,0.0003981071706,0.0005011872336,0.0004055122825,0.05826443474
256,0.0005011872336,0.0001,0.0001258925412,0.0001,0.0001258925412,0.0001905944632,0.0584550292
257,0.0001584893192,0.0001258925412,0.0003981071706,0.0001258925412,0.0005011872336,0.0002619137612,0.05871694297
258,0.0001258925412,0.0005011872336,0.0001258925412,0.0001584893192,0.0001258925412,0.0002074708353,0.0589244138
259,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.05905030634
260,0.0005011872336,0.0001584893192,0.0001258925412,0.0001584893192,0.0001258925412,0.0002139901909,0.05926429653
261,0.0001258925412,0.0001258925412,0.0001258925412,0.0001584893192,0.0005011872336,0.0002074708353,0.05947176737
262,0.0001258925412,0.0001258925412,0.0001584893192,0.0001258925412,0.0001258925412,0.0001324118968,0.05960417927
263,0.0001584893192,0.0001258925412,0.0001258925412,0.0005011872336,0.0001258925412,0.0002074708353,0.0598116501
264,0.0001258925412,0.0001258925412,0.0001258925412,0.0001584893192,0.0001258925412,0.0001324118968,0.059944062
265,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.06006995454
266,0.0001258925412,0.0001258925412,0.0001,0.0005011872336,0.0001258925412,0.0001957729714,0.06026572751
267,0.0005011872336,0.0003981071706,0.0003981071706,0.0001258925412,0.0005011872336,0.0003848962699,0.06065062378
268,0.0001258925412,0.0001258925412,0.0001258925412,0.0003981071706,0.0001258925412,0.0001803354671,0.06083095925
269,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0005011872336,0.0002074708353,0.06103843008
270,0.0001584893192,0.0001258925412,0.0001258925412,0.0003981071706,0.0001258925412,0.0001868548227,0.06122528491
271,0.0001584893192,0.0001258925412,0.0003981071706,0.0003981071706,0.0005011872336,0.000316356687,0.06154164159
272,0.0001584893192,0.0005011872336,0.0001258925412,0.0001,0.0005011872336,0.0002773512655,0.06181899286
273,0.0001258925412,0.0001258925412,0.0001258925412,0.0003981071706,0.0005011872336,0.0002553944056,0.06207438726
274,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0002009514797,0.06227533874
275,0.0001258925412,0.0001258925412,0.0001584893192,0.0001258925412,0.0001258925412,0.0001324118968,0.06240775064
