SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-09 14:57:51.036844,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48
1,DC:A6:32:33:AA:47,2020-07-09 14:57:52.761528,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40
2,DC:A6:32:33:AA:47,2020-07-09 14:57:53.441319,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40
3,DC:A6:32:33:AA:47,2020-07-09 14:57:54.811325,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45
4,DC:A6:32:33:AA:47,2020-07-09 14:57:55.875117,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40
5,DC:A6:32:33:AA:47,2020-07-09 14:57:56.145072,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46
6,DC:A6:32:33:AA:47,2020-07-09 14:57:57.551284,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48
7,DC:A6:32:33:AA:47,2020-07-09 14:57:58.383756,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
8,DC:A6:32:33:AA:47,2020-07-09 14:57:59.486990,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45
9,DC:A6:32:33:AA:47,2020-07-09 14:58:00.591268,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45
10,DC:A6:32:33:AA:47,2020-07-09 14:58:01.694783,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48
11,DC:A6:32:33:AA:47,2020-07-09 14:58:02.057525,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
12,DC:A6:32:33:AA:47,2020-07-09 14:58:03.630013,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-48
13,DC:A6:32:33:AA:47,2020-07-09 14:58:04.466214,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45
14,DC:A6:32:33:AA:47,2020-07-09 14:58:05.266330,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37
15,DC:A6:32:33:AA:47,2020-07-09 14:58:07.274413,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45
16,DC:A6:32:33:AA:47,2020-07-09 14:58:09.279995,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45
17,DC:A6:32:33:AA:47,2020-07-09 14:58:10.452445,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46
18,DC:A6:32:33:AA:47,2020-07-09 14:58:11.635006,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
