SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
61,DC:A6:32:33:AA:47,2020-07-07 18:03:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
62,DC:A6:32:33:AA:47,2020-07-07 18:03:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
63,DC:A6:32:33:AA:47,2020-07-07 18:03:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
64,DC:A6:32:33:AA:47,2020-07-07 18:03:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
65,DC:A6:32:33:AA:47,2020-07-07 18:03:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
66,DC:A6:32:33:AA:47,2020-07-07 18:03:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
67,DC:A6:32:33:AA:47,2020-07-07 18:03:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
68,DC:A6:32:33:AA:47,2020-07-07 18:03:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
69,DC:A6:32:33:AA:47,2020-07-07 18:03:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
70,DC:A6:32:33:AA:47,2020-07-07 18:03:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
71,DC:A6:32:33:AA:47,2020-07-07 18:03:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
72,DC:A6:32:33:AA:47,2020-07-07 18:03:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
73,DC:A6:32:33:AA:47,2020-07-07 18:03:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
