SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Total Sum
18,DC:A6:32:33:AA:47,2020-07-07 17:03:23,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
19,DC:A6:32:33:AA:47,2020-07-07 17:03:25,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
20,DC:A6:32:33:AA:47,2020-07-07 17:03:25,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
21,DC:A6:32:33:AA:47,2020-07-07 17:03:26,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
22,DC:A6:32:33:AA:47,2020-07-07 17:03:27,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
23,DC:A6:32:33:AA:47,2020-07-07 17:03:28,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
24,DC:A6:32:33:AA:47,2020-07-07 17:03:29,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
25,DC:A6:32:33:AA:47,2020-07-07 17:03:31,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
26,DC:A6:32:33:AA:47,2020-07-07 17:03:32,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
27,DC:A6:32:33:AA:47,2020-07-07 17:03:34,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
28,DC:A6:32:33:AA:47,2020-07-07 17:03:36,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
29,DC:A6:32:33:AA:47,2020-07-07 17:03:36,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
30,DC:A6:32:33:AA:47,2020-07-07 17:03:37,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
31,DC:A6:32:33:AA:47,2020-07-07 17:03:38,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
32,DC:A6:32:33:AA:47,2020-07-07 17:03:40,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
33,DC:A6:32:33:AA:47,2020-07-07 17:03:41,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
34,DC:A6:32:33:AA:47,2020-07-07 17:03:42,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
35,DC:A6:32:33:AA:47,2020-07-07 17:03:43,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
36,DC:A6:32:33:AA:47,2020-07-07 17:03:45,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
37,DC:A6:32:33:AA:47,2020-07-07 17:03:46,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
38,DC:A6:32:33:AA:47,2020-07-07 17:03:48,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
39,DC:A6:32:33:AA:47,2020-07-07 17:03:48,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
40,DC:A6:32:33:AA:47,2020-07-07 17:03:50,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
41,DC:A6:32:33:AA:47,2020-07-07 17:03:51,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
42,DC:A6:32:33:AA:47,2020-07-07 17:03:52,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
43,DC:A6:32:33:AA:47,2020-07-07 17:03:53,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
44,DC:A6:32:33:AA:47,2020-07-07 17:03:55,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
45,DC:A6:32:33:AA:47,2020-07-07 17:03:56,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
46,DC:A6:32:33:AA:47,2020-07-07 17:03:57,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
47,DC:A6:32:33:AA:47,2020-07-07 17:03:58,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
48,DC:A6:32:33:AA:47,2020-07-07 17:04:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
49,DC:A6:32:33:AA:47,2020-07-07 17:04:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
50,DC:A6:32:33:AA:47,2020-07-07 17:04:01,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
51,DC:A6:32:33:AA:47,2020-07-07 17:04:02,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
52,DC:A6:32:33:AA:47,2020-07-07 17:04:04,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
53,DC:A6:32:33:AA:47,2020-07-07 17:04:04,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
54,DC:A6:32:33:AA:47,2020-07-07 17:04:05,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
55,DC:A6:32:33:AA:47,2020-07-07 17:04:07,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-54,0.000003981071706,
56,DC:A6:32:33:AA:47,2020-07-07 17:04:08,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
57,DC:A6:32:33:AA:47,2020-07-07 17:04:10,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
58,DC:A6:32:33:AA:47,2020-07-07 17:04:10,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
59,DC:A6:32:33:AA:47,2020-07-07 17:04:11,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-54,0.000003981071706,
60,DC:A6:32:33:AA:47,2020-07-07 17:04:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
61,DC:A6:32:33:AA:47,2020-07-07 17:04:15,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
62,DC:A6:32:33:AA:47,2020-07-07 17:04:17,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
63,DC:A6:32:33:AA:47,2020-07-07 17:04:18,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
64,DC:A6:32:33:AA:47,2020-07-07 17:04:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
65,DC:A6:32:33:AA:47,2020-07-07 17:04:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
66,DC:A6:32:33:AA:47,2020-07-07 17:04:22,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
67,DC:A6:32:33:AA:47,2020-07-07 17:04:22,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
68,DC:A6:32:33:AA:47,2020-07-07 17:04:23,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
69,DC:A6:32:33:AA:47,2020-07-07 17:04:25,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
70,DC:A6:32:33:AA:47,2020-07-07 17:04:26,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-54,0.000003981071706,
71,DC:A6:32:33:AA:47,2020-07-07 17:04:28,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
72,DC:A6:32:33:AA:47,2020-07-07 17:04:29,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
73,DC:A6:32:33:AA:47,2020-07-07 17:04:30,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
74,DC:A6:32:33:AA:47,2020-07-07 17:04:30,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
75,DC:A6:32:33:AA:47,2020-07-07 17:04:32,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
76,DC:A6:32:33:AA:47,2020-07-07 17:04:34,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
77,DC:A6:32:33:AA:47,2020-07-07 17:04:35,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
78,DC:A6:32:33:AA:47,2020-07-07 17:04:36,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-54,0.000003981071706,
79,DC:A6:32:33:AA:47,2020-07-07 17:04:38,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
80,DC:A6:32:33:AA:47,2020-07-07 17:04:39,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
81,DC:A6:32:33:AA:47,2020-07-07 17:04:41,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
82,DC:A6:32:33:AA:47,2020-07-07 17:04:42,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
83,DC:A6:32:33:AA:47,2020-07-07 17:04:43,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
84,DC:A6:32:33:AA:47,2020-07-07 17:04:44,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
85,DC:A6:32:33:AA:47,2020-07-07 17:04:46,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
86,DC:A6:32:33:AA:47,2020-07-07 17:04:47,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
87,DC:A6:32:33:AA:47,2020-07-07 17:04:49,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
88,DC:A6:32:33:AA:47,2020-07-07 17:04:50,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
89,DC:A6:32:33:AA:47,2020-07-07 17:04:52,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
90,DC:A6:32:33:AA:47,2020-07-07 17:04:54,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
91,DC:A6:32:33:AA:47,2020-07-07 17:04:56,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
92,DC:A6:32:33:AA:47,2020-07-07 17:04:58,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
93,DC:A6:32:33:AA:47,2020-07-07 17:04:59,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
94,DC:A6:32:33:AA:47,2020-07-07 17:05:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
95,DC:A6:32:33:AA:47,2020-07-07 17:05:01,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
96,DC:A6:32:33:AA:47,2020-07-07 17:05:02,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
97,DC:A6:32:33:AA:47,2020-07-07 17:05:04,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
98,DC:A6:32:33:AA:47,2020-07-07 17:05:06,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
99,DC:A6:32:33:AA:47,2020-07-07 17:05:08,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
100,DC:A6:32:33:AA:47,2020-07-07 17:05:10,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
101,DC:A6:32:33:AA:47,2020-07-07 17:05:11,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
102,DC:A6:32:33:AA:47,2020-07-07 17:05:12,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
103,DC:A6:32:33:AA:47,2020-07-07 17:05:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
104,DC:A6:32:33:AA:47,2020-07-07 17:05:14,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
105,DC:A6:32:33:AA:47,2020-07-07 17:05:15,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
106,DC:A6:32:33:AA:47,2020-07-07 17:05:17,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
107,DC:A6:32:33:AA:47,2020-07-07 17:05:19,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
108,DC:A6:32:33:AA:47,2020-07-07 17:05:21,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
109,DC:A6:32:33:AA:47,2020-07-07 17:05:23,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
110,DC:A6:32:33:AA:47,2020-07-07 17:05:25,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
111,DC:A6:32:33:AA:47,2020-07-07 17:05:27,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
112,DC:A6:32:33:AA:47,2020-07-07 17:05:29,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-54,0.000003981071706,
113,DC:A6:32:33:AA:47,2020-07-07 17:05:30,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
114,DC:A6:32:33:AA:47,2020-07-07 17:05:30,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
115,DC:A6:32:33:AA:47,2020-07-07 17:05:31,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-54,0.000003981071706,
116,DC:A6:32:33:AA:47,2020-07-07 17:05:33,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
117,DC:A6:32:33:AA:47,2020-07-07 17:05:34,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
118,DC:A6:32:33:AA:47,2020-07-07 17:05:36,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
119,DC:A6:32:33:AA:47,2020-07-07 17:05:38,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
120,DC:A6:32:33:AA:47,2020-07-07 17:05:40,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
121,DC:A6:32:33:AA:47,2020-07-07 17:05:42,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
122,DC:A6:32:33:AA:47,2020-07-07 17:05:43,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
123,DC:A6:32:33:AA:47,2020-07-07 17:05:44,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
124,DC:A6:32:33:AA:47,2020-07-07 17:05:46,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
125,DC:A6:32:33:AA:47,2020-07-07 17:05:47,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
126,DC:A6:32:33:AA:47,2020-07-07 17:05:49,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
127,DC:A6:32:33:AA:47,2020-07-07 17:05:50,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
128,DC:A6:32:33:AA:47,2020-07-07 17:05:52,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
129,DC:A6:32:33:AA:47,2020-07-07 17:05:53,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
130,DC:A6:32:33:AA:47,2020-07-07 17:05:55,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
131,DC:A6:32:33:AA:47,2020-07-07 17:05:57,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
132,DC:A6:32:33:AA:47,2020-07-07 17:05:57,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
133,DC:A6:32:33:AA:47,2020-07-07 17:05:58,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
134,DC:A6:32:33:AA:47,2020-07-07 17:06:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
135,DC:A6:32:33:AA:47,2020-07-07 17:06:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
136,DC:A6:32:33:AA:47,2020-07-07 17:06:02,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
137,DC:A6:32:33:AA:47,2020-07-07 17:06:03,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
138,DC:A6:32:33:AA:47,2020-07-07 17:06:04,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
139,DC:A6:32:33:AA:47,2020-07-07 17:06:05,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
140,DC:A6:32:33:AA:47,2020-07-07 17:06:06,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
141,DC:A6:32:33:AA:47,2020-07-07 17:06:07,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
142,DC:A6:32:33:AA:47,2020-07-07 17:06:08,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
143,DC:A6:32:33:AA:47,2020-07-07 17:06:09,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
144,DC:A6:32:33:AA:47,2020-07-07 17:06:10,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
145,DC:A6:32:33:AA:47,2020-07-07 17:06:12,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
146,DC:A6:32:33:AA:47,2020-07-07 17:06:14,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
147,DC:A6:32:33:AA:47,2020-07-07 17:06:16,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
148,DC:A6:32:33:AA:47,2020-07-07 17:06:18,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
149,DC:A6:32:33:AA:47,2020-07-07 17:06:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
150,DC:A6:32:33:AA:47,2020-07-07 17:06:22,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
151,DC:A6:32:33:AA:47,2020-07-07 17:06:23,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
152,DC:A6:32:33:AA:47,2020-07-07 17:06:24,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
153,DC:A6:32:33:AA:47,2020-07-07 17:06:25,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
154,DC:A6:32:33:AA:47,2020-07-07 17:06:26,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
155,DC:A6:32:33:AA:47,2020-07-07 17:06:27,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
156,DC:A6:32:33:AA:47,2020-07-07 17:06:28,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
157,DC:A6:32:33:AA:47,2020-07-07 17:06:29,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
158,DC:A6:32:33:AA:47,2020-07-07 17:06:30,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
159,DC:A6:32:33:AA:47,2020-07-07 17:06:31,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
160,DC:A6:32:33:AA:47,2020-07-07 17:06:33,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
161,DC:A6:32:33:AA:47,2020-07-07 17:06:33,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
162,DC:A6:32:33:AA:47,2020-07-07 17:06:35,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
163,DC:A6:32:33:AA:47,2020-07-07 17:06:37,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
164,DC:A6:32:33:AA:47,2020-07-07 17:06:37,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
165,DC:A6:32:33:AA:47,2020-07-07 17:06:39,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
166,DC:A6:32:33:AA:47,2020-07-07 17:06:39,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
167,DC:A6:32:33:AA:47,2020-07-07 17:06:41,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
168,DC:A6:32:33:AA:47,2020-07-07 17:06:43,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
169,DC:A6:32:33:AA:47,2020-07-07 17:06:44,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
170,DC:A6:32:33:AA:47,2020-07-07 17:06:45,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
171,DC:A6:32:33:AA:47,2020-07-07 17:06:46,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
172,DC:A6:32:33:AA:47,2020-07-07 17:06:47,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
173,DC:A6:32:33:AA:47,2020-07-07 17:06:49,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
174,DC:A6:32:33:AA:47,2020-07-07 17:06:50,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
175,DC:A6:32:33:AA:47,2020-07-07 17:06:51,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
176,DC:A6:32:33:AA:47,2020-07-07 17:06:53,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
177,DC:A6:32:33:AA:47,2020-07-07 17:06:54,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
178,DC:A6:32:33:AA:47,2020-07-07 17:06:56,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
179,DC:A6:32:33:AA:47,2020-07-07 17:06:57,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
180,DC:A6:32:33:AA:47,2020-07-07 17:06:58,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
181,DC:A6:32:33:AA:47,2020-07-07 17:06:59,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
182,DC:A6:32:33:AA:47,2020-07-07 17:07:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
183,DC:A6:32:33:AA:47,2020-07-07 17:07:01,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
184,DC:A6:32:33:AA:47,2020-07-07 17:07:03,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
185,DC:A6:32:33:AA:47,2020-07-07 17:07:04,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
186,DC:A6:32:33:AA:47,2020-07-07 17:07:06,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
187,DC:A6:32:33:AA:47,2020-07-07 17:07:07,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
188,DC:A6:32:33:AA:47,2020-07-07 17:07:09,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
189,DC:A6:32:33:AA:47,2020-07-07 17:07:11,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
190,DC:A6:32:33:AA:47,2020-07-07 17:07:11,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
191,DC:A6:32:33:AA:47,2020-07-07 17:07:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
192,DC:A6:32:33:AA:47,2020-07-07 17:07:14,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
193,DC:A6:32:33:AA:47,2020-07-07 17:07:16,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
194,DC:A6:32:33:AA:47,2020-07-07 17:07:18,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
195,DC:A6:32:33:AA:47,2020-07-07 17:07:19,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
196,DC:A6:32:33:AA:47,2020-07-07 17:07:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
197,DC:A6:32:33:AA:47,2020-07-07 17:07:21,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
198,DC:A6:32:33:AA:47,2020-07-07 17:07:23,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
199,DC:A6:32:33:AA:47,2020-07-07 17:07:23,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
