SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,POWER ( mW),Sum
220,DC:A6:32:33:AA:47,2020-07-07 17:22:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
221,DC:A6:32:33:AA:47,2020-07-07 17:22:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
222,DC:A6:32:33:AA:47,2020-07-07 17:22:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
223,DC:A6:32:33:AA:47,2020-07-07 17:22:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
224,DC:A6:32:33:AA:47,2020-07-07 17:22:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
225,DC:A6:32:33:AA:47,2020-07-07 17:22:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
226,DC:A6:32:33:AA:47,2020-07-07 17:22:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
227,DC:A6:32:33:AA:47,2020-07-07 17:22:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
228,DC:A6:32:33:AA:47,2020-07-07 17:22:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
229,DC:A6:32:33:AA:47,2020-07-07 17:22:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
230,DC:A6:32:33:AA:47,2020-07-07 17:22:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
231,DC:A6:32:33:AA:47,2020-07-07 17:22:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
232,DC:A6:32:33:AA:47,2020-07-07 17:22:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
233,DC:A6:32:33:AA:47,2020-07-07 17:22:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
234,DC:A6:32:33:AA:47,2020-07-07 17:22:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
235,DC:A6:32:33:AA:47,2020-07-07 17:22:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
236,DC:A6:32:33:AA:47,2020-07-07 17:22:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
237,DC:A6:32:33:AA:47,2020-07-07 17:22:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
238,DC:A6:32:33:AA:47,2020-07-07 17:22:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
239,DC:A6:32:33:AA:47,2020-07-07 17:22:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
240,DC:A6:32:33:AA:47,2020-07-07 17:22:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
241,DC:A6:32:33:AA:47,2020-07-07 17:22:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
242,DC:A6:32:33:AA:47,2020-07-07 17:22:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
243,DC:A6:32:33:AA:47,2020-07-07 17:22:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
244,DC:A6:32:33:AA:47,2020-07-07 17:22:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
245,DC:A6:32:33:AA:47,2020-07-07 17:22:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
246,DC:A6:32:33:AA:47,2020-07-07 17:22:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
247,DC:A6:32:33:AA:47,2020-07-07 17:22:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
248,DC:A6:32:33:AA:47,2020-07-07 17:22:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
249,DC:A6:32:33:AA:47,2020-07-07 17:22:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
250,DC:A6:32:33:AA:47,2020-07-07 17:22:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
251,DC:A6:32:33:AA:47,2020-07-07 17:22:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
252,DC:A6:32:33:AA:47,2020-07-07 17:22:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
253,DC:A6:32:33:AA:47,2020-07-07 17:22:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
254,DC:A6:32:33:AA:47,2020-07-07 17:22:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
255,DC:A6:32:33:AA:47,2020-07-07 17:23:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
256,DC:A6:32:33:AA:47,2020-07-07 17:23:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
257,DC:A6:32:33:AA:47,2020-07-07 17:23:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
258,DC:A6:32:33:AA:47,2020-07-07 17:23:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
259,DC:A6:32:33:AA:47,2020-07-07 17:23:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
260,DC:A6:32:33:AA:47,2020-07-07 17:23:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
261,DC:A6:32:33:AA:47,2020-07-07 17:23:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
262,DC:A6:32:33:AA:47,2020-07-07 17:23:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
