SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
0,DC:A6:32:33:AA:47,2020-07-07 18:13:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,0.002822200302
1,DC:A6:32:33:AA:47,2020-07-07 18:13:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
2,DC:A6:32:33:AA:47,2020-07-07 18:13:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
3,DC:A6:32:33:AA:47,2020-07-07 18:13:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
4,DC:A6:32:33:AA:47,2020-07-07 18:13:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
5,DC:A6:32:33:AA:47,2020-07-07 18:13:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
6,DC:A6:32:33:AA:47,2020-07-07 18:13:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
7,DC:A6:32:33:AA:47,2020-07-07 18:13:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
8,DC:A6:32:33:AA:47,2020-07-07 18:13:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
9,DC:A6:32:33:AA:47,2020-07-07 18:13:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
10,DC:A6:32:33:AA:47,2020-07-07 18:13:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
11,DC:A6:32:33:AA:47,2020-07-07 18:13:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
12,DC:A6:32:33:AA:47,2020-07-07 18:13:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
13,DC:A6:32:33:AA:47,2020-07-07 18:13:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
14,DC:A6:32:33:AA:47,2020-07-07 18:13:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
15,DC:A6:32:33:AA:47,2020-07-07 18:13:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
16,DC:A6:32:33:AA:47,2020-07-07 18:13:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
17,DC:A6:32:33:AA:47,2020-07-07 18:13:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
18,DC:A6:32:33:AA:47,2020-07-07 18:13:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
19,DC:A6:32:33:AA:47,2020-07-07 18:13:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
