SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW),Total Sum
0,DC:A6:32:33:AA:47,2020-07-07 18:37:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,0.003859317809
1,DC:A6:32:33:AA:47,2020-07-07 18:37:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
2,DC:A6:32:33:AA:47,2020-07-07 18:37:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
3,DC:A6:32:33:AA:47,2020-07-07 18:37:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
4,DC:A6:32:33:AA:47,2020-07-07 18:37:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
5,DC:A6:32:33:AA:47,2020-07-07 18:37:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
6,DC:A6:32:33:AA:47,2020-07-07 18:37:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
7,DC:A6:32:33:AA:47,2020-07-07 18:38:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
8,DC:A6:32:33:AA:47,2020-07-07 18:38:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
9,DC:A6:32:33:AA:47,2020-07-07 18:38:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
10,DC:A6:32:33:AA:47,2020-07-07 18:38:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
11,DC:A6:32:33:AA:47,2020-07-07 18:38:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
12,DC:A6:32:33:AA:47,2020-07-07 18:38:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
13,DC:A6:32:33:AA:47,2020-07-07 18:38:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
14,DC:A6:32:33:AA:47,2020-07-07 18:38:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
15,DC:A6:32:33:AA:47,2020-07-07 18:38:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
16,DC:A6:32:33:AA:47,2020-07-07 18:38:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
17,DC:A6:32:33:AA:47,2020-07-07 18:38:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
18,DC:A6:32:33:AA:47,2020-07-07 18:38:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
19,DC:A6:32:33:AA:47,2020-07-07 18:38:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
20,DC:A6:32:33:AA:47,2020-07-07 18:38:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
21,DC:A6:32:33:AA:47,2020-07-07 18:38:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
22,DC:A6:32:33:AA:47,2020-07-07 18:38:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
23,DC:A6:32:33:AA:47,2020-07-07 18:38:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
24,DC:A6:32:33:AA:47,2020-07-07 18:38:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
25,DC:A6:32:33:AA:47,2020-07-07 18:38:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
26,DC:A6:32:33:AA:47,2020-07-07 18:38:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
27,DC:A6:32:33:AA:47,2020-07-07 18:38:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
28,DC:A6:32:33:AA:47,2020-07-07 18:38:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
29,DC:A6:32:33:AA:47,2020-07-07 18:38:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
30,DC:A6:32:33:AA:47,2020-07-07 18:38:33,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
31,DC:A6:32:33:AA:47,2020-07-07 18:38:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
32,DC:A6:32:33:AA:47,2020-07-07 18:38:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
33,DC:A6:32:33:AA:47,2020-07-07 18:38:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
34,DC:A6:32:33:AA:47,2020-07-07 18:38:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
35,DC:A6:32:33:AA:47,2020-07-07 18:38:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
36,DC:A6:32:33:AA:47,2020-07-07 18:38:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
37,DC:A6:32:33:AA:47,2020-07-07 18:38:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
38,DC:A6:32:33:AA:47,2020-07-07 18:38:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
39,DC:A6:32:33:AA:47,2020-07-07 18:38:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
40,DC:A6:32:33:AA:47,2020-07-07 18:38:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
41,DC:A6:32:33:AA:47,2020-07-07 18:38:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
42,DC:A6:32:33:AA:47,2020-07-07 18:38:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
43,DC:A6:32:33:AA:47,2020-07-07 18:38:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
44,DC:A6:32:33:AA:47,2020-07-07 18:38:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
45,DC:A6:32:33:AA:47,2020-07-07 18:38:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
46,DC:A6:32:33:AA:47,2020-07-07 18:38:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
47,DC:A6:32:33:AA:47,2020-07-07 18:38:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
48,DC:A6:32:33:AA:47,2020-07-07 18:38:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
49,DC:A6:32:33:AA:47,2020-07-07 18:38:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
50,DC:A6:32:33:AA:47,2020-07-07 18:38:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
51,DC:A6:32:33:AA:47,2020-07-07 18:38:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
52,DC:A6:32:33:AA:47,2020-07-07 18:39:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
53,DC:A6:32:33:AA:47,2020-07-07 18:39:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
54,DC:A6:32:33:AA:47,2020-07-07 18:39:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
55,DC:A6:32:33:AA:47,2020-07-07 18:39:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
56,DC:A6:32:33:AA:47,2020-07-07 18:39:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
57,DC:A6:32:33:AA:47,2020-07-07 18:39:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
58,DC:A6:32:33:AA:47,2020-07-07 18:39:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
59,DC:A6:32:33:AA:47,2020-07-07 18:39:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
60,DC:A6:32:33:AA:47,2020-07-07 18:39:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
61,DC:A6:32:33:AA:47,2020-07-07 18:39:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
62,DC:A6:32:33:AA:47,2020-07-07 18:39:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
63,DC:A6:32:33:AA:47,2020-07-07 18:39:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
64,DC:A6:32:33:AA:47,2020-07-07 18:39:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
65,DC:A6:32:33:AA:47,2020-07-07 18:39:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
66,DC:A6:32:33:AA:47,2020-07-07 18:39:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
67,DC:A6:32:33:AA:47,2020-07-07 18:39:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
68,DC:A6:32:33:AA:47,2020-07-07 18:39:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
69,DC:A6:32:33:AA:47,2020-07-07 18:39:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
70,DC:A6:32:33:AA:47,2020-07-07 18:39:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
71,DC:A6:32:33:AA:47,2020-07-07 18:39:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
72,DC:A6:32:33:AA:47,2020-07-07 18:39:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
73,DC:A6:32:33:AA:47,2020-07-07 18:39:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
74,DC:A6:32:33:AA:47,2020-07-07 18:39:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
75,DC:A6:32:33:AA:47,2020-07-07 18:39:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49,0.00001258925412,
76,DC:A6:32:33:AA:47,2020-07-07 18:39:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-60,0.000001,
77,DC:A6:32:33:AA:47,2020-07-07 18:39:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
78,DC:A6:32:33:AA:47,2020-07-07 18:39:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
79,DC:A6:32:33:AA:47,2020-07-07 18:39:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
80,DC:A6:32:33:AA:47,2020-07-07 18:39:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
81,DC:A6:32:33:AA:47,2020-07-07 18:39:33,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48,0.00001584893192,
82,DC:A6:32:33:AA:47,2020-07-07 18:39:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49,0.00001258925412,
83,DC:A6:32:33:AA:47,2020-07-07 18:39:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49,0.00001258925412,
84,DC:A6:32:33:AA:47,2020-07-07 18:39:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
