SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW),Total Sum
259,DC:A6:32:33:AA:47,2020-07-07 17:46:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
260,DC:A6:32:33:AA:47,2020-07-07 17:46:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
261,DC:A6:32:33:AA:47,2020-07-07 17:46:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
262,DC:A6:32:33:AA:47,2020-07-07 17:46:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
263,DC:A6:32:33:AA:47,2020-07-07 17:46:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
264,DC:A6:32:33:AA:47,2020-07-07 17:46:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
265,DC:A6:32:33:AA:47,2020-07-07 17:46:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
266,DC:A6:32:33:AA:47,2020-07-07 17:46:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
267,DC:A6:32:33:AA:47,2020-07-07 17:46:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
268,DC:A6:32:33:AA:47,2020-07-07 17:46:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
269,DC:A6:32:33:AA:47,2020-07-07 17:46:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
270,DC:A6:32:33:AA:47,2020-07-07 17:46:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
271,DC:A6:32:33:AA:47,2020-07-07 17:46:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
272,DC:A6:32:33:AA:47,2020-07-07 17:46:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-59,0.000001258925412,
273,DC:A6:32:33:AA:47,2020-07-07 17:46:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-59,0.000001258925412,
274,DC:A6:32:33:AA:47,2020-07-07 17:46:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
275,DC:A6:32:33:AA:47,2020-07-07 17:46:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
276,DC:A6:32:33:AA:47,2020-07-07 17:46:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
277,DC:A6:32:33:AA:47,2020-07-07 17:46:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
278,DC:A6:32:33:AA:47,2020-07-07 17:46:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
279,DC:A6:32:33:AA:47,2020-07-07 17:46:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
280,DC:A6:32:33:AA:47,2020-07-07 17:46:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
281,DC:A6:32:33:AA:47,2020-07-07 17:46:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
282,DC:A6:32:33:AA:47,2020-07-07 17:46:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
283,DC:A6:32:33:AA:47,2020-07-07 17:46:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
284,DC:A6:32:33:AA:47,2020-07-07 17:46:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
285,DC:A6:32:33:AA:47,2020-07-07 17:46:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
286,DC:A6:32:33:AA:47,2020-07-07 17:46:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
287,DC:A6:32:33:AA:47,2020-07-07 17:47:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
288,DC:A6:32:33:AA:47,2020-07-07 17:47:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
289,DC:A6:32:33:AA:47,2020-07-07 17:47:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
290,DC:A6:32:33:AA:47,2020-07-07 17:47:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
