SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
0,DC:A6:32:33:AA:47,2020-07-07 18:48:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49,0.00001258925412,0.003595402
1,DC:A6:32:33:AA:47,2020-07-07 18:48:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
2,DC:A6:32:33:AA:47,2020-07-07 18:48:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
3,DC:A6:32:33:AA:47,2020-07-07 18:48:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
4,DC:A6:32:33:AA:47,2020-07-07 18:48:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
5,DC:A6:32:33:AA:47,2020-07-07 18:48:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
6,DC:A6:32:33:AA:47,2020-07-07 18:48:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48,0.00001584893192,
7,DC:A6:32:33:AA:47,2020-07-07 18:48:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-48,0.00001584893192,
8,DC:A6:32:33:AA:47,2020-07-07 18:48:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
9,DC:A6:32:33:AA:47,2020-07-07 18:48:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
10,DC:A6:32:33:AA:47,2020-07-07 18:48:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
11,DC:A6:32:33:AA:47,2020-07-07 18:49:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
12,DC:A6:32:33:AA:47,2020-07-07 18:49:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-49,0.00001258925412,
13,DC:A6:32:33:AA:47,2020-07-07 18:49:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
14,DC:A6:32:33:AA:47,2020-07-07 18:49:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
