SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-09 16:25:49.475770,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54
1,DC:A6:32:33:AA:47,2020-07-09 16:25:50.267771,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54
2,DC:A6:32:33:AA:47,2020-07-09 16:25:51.356546,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
3,DC:A6:32:33:AA:47,2020-07-09 16:25:53.361568,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
4,DC:A6:32:33:AA:47,2020-07-09 16:25:54.609083,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
5,DC:A6:32:33:AA:47,2020-07-09 16:25:56.614180,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
6,DC:A6:32:33:AA:47,2020-07-09 16:25:57.053395,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45
7,DC:A6:32:33:AA:47,2020-07-09 16:25:59.059222,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
8,DC:A6:32:33:AA:47,2020-07-09 16:26:00.486592,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
9,DC:A6:32:33:AA:47,2020-07-09 16:26:01.154614,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54
10,DC:A6:32:33:AA:47,2020-07-09 16:26:02.670376,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
11,DC:A6:32:33:AA:47,2020-07-09 16:26:03.033333,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
12,DC:A6:32:33:AA:47,2020-07-09 16:26:05.037836,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
13,DC:A6:32:33:AA:47,2020-07-09 16:26:06.845927,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
14,DC:A6:32:33:AA:47,2020-07-09 16:26:07.029087,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54
15,DC:A6:32:33:AA:47,2020-07-09 16:26:09.034165,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
16,DC:A6:32:33:AA:47,2020-07-09 16:26:11.039120,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
17,DC:A6:32:33:AA:47,2020-07-09 16:26:12.021516,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
18,DC:A6:32:33:AA:47,2020-07-09 16:26:13.815366,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
19,DC:A6:32:33:AA:47,2020-07-09 16:26:14.060936,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
20,DC:A6:32:33:AA:47,2020-07-09 16:26:16.066593,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
21,DC:A6:32:33:AA:47,2020-07-09 16:26:18.071603,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
22,DC:A6:32:33:AA:47,2020-07-09 16:26:19.720412,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52
23,DC:A6:32:33:AA:47,2020-07-09 16:26:20.069127,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
24,DC:A6:32:33:AA:47,2020-07-09 16:26:22.074115,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
25,DC:A6:32:33:AA:47,2020-07-09 16:26:23.651577,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
26,DC:A6:32:33:AA:47,2020-07-09 16:26:25.656673,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41
27,DC:A6:32:33:AA:47,2020-07-09 16:26:26.717236,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
28,DC:A6:32:33:AA:47,2020-07-09 16:26:27.130373,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
29,DC:A6:32:33:AA:47,2020-07-09 16:26:29.135481,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
30,DC:A6:32:33:AA:47,2020-07-09 16:26:31.140484,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
31,DC:A6:32:33:AA:47,2020-07-09 16:26:32.386676,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
32,DC:A6:32:33:AA:47,2020-07-09 16:26:33.178491,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
33,DC:A6:32:33:AA:47,2020-07-09 16:26:34.476762,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
34,DC:A6:32:33:AA:47,2020-07-09 16:26:35.036592,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
35,DC:A6:32:33:AA:47,2020-07-09 16:26:36.227911,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
36,DC:A6:32:33:AA:47,2020-07-09 16:26:37.511708,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
37,DC:A6:32:33:AA:47,2020-07-09 16:26:39.126730,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
38,DC:A6:32:33:AA:47,2020-07-09 16:26:40.227896,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
